Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
0	586.9251	581.1322	5.792954	6.184378	0.01590034	0.002373485	0.004732836	0.9937959	0.9016278	1	0.01226815	43.59324	0.004732654	0.3825661
1	587.7009	581.8705	5.830414	8.928152	0.01322297	-0.01007645	0.004937478	0.9853998	0.8817302	1	0.01142699	52.41995	0.004936425	-0.6901583
2	586.8185	581.1585	5.659991	5.092903	0.01752382	-0.01007645	0.003990399	0.9963076	0.9107392	1	0.01182599	39.55457	0.003990345	-2.728998
3	586.1846	580.4885	5.696123	4.392643	0.01886984	-0.00538288	0.004144172	0.9975987	0.9171057	1	0.01250599	36.73306	0.004144148	-2.241653
4	585.1627	579.3181	5.844641	6.892202	0.01505971	-0.01044773	0.005359874	0.9918833	0.8961396	1	0.01270576	46.0266	0.005359521	-1.287194
5	586.7059	580.8785	5.827435	11.4461	0.0116615	-0.006437096	0.004931941	0.9759495	0.8659429	1	0.01072509	59.43895	0.004929088	-0.2676486
6	587.7029	581.8719	5.831064	8.487594	0.01356423	-0.01014898	0.004950221	0.9869087	0.8847009	1	0.01158844	51.10111	0.004949373	-0.7752451
7	587.9017	582.1105	5.791189	8.087474	0.01389773	0.0001553288	0.004671841	0.9882324	0.887464	1	0.01139544	49.87486	0.004671195	0.01319973
8	587.7874	581.9604	5.827009	8.766725	0.01334506	-0.004991075	0.004973578	0.9859586	0.8828104	1	0.01152152	51.94036	0.004972597	-0.3554552
9	588.056	582.2491	5.806944	8.112892	0.01387582	-0.004860955	0.0047484	0.9881497	0.8872866	1	0.01147937	49.95361	0.004747733	-0.4101981
10	584.119	578.2901	5.828842	5.179586	0.01737644	-0.0197293	0.004871303	0.9961295	0.9099823	1	0.01301122	39.89006	0.00487123	-5.097383
11	586.8803	581.054	5.826275	9.684948	0.01269128	0.004086593	0.005255845	0.9826952	0.8767861	1	0.01155019	54.616	0.005254271	0.2361531
12	585.9778	580.268	5.709845	4.930985	0.01780944	-0.01742047	0.004148758	0.9966298	0.9121706	1	0.01215624	38.92021	0.004148711	-5.168994
13	587.4133	581.6524	5.760846	6.80746	0.01515343	0.004387677	0.004512416	0.9921229	0.8967816	1	0.01169432	45.74192	0.004512136	0.5570164
14	587.7154	581.9415	5.773903	8.416922	0.01362142	-0.001067052	0.004532159	0.9871458	0.8851843	1	0.01111166	50.88656	0.00453141	-0.08301213
15	587.8573	582.1088	5.748465	7.501307	0.01443314	-0.003159765	0.004372557	0.9900835	0.8916343	1	0.01123474	48.02471	0.004372127	-0.3186359
16	587.6742	581.8652	5.808991	9.375499	0.01290102	-0.002075779	0.004795145	0.9838173	0.8787846	1	0.01112315	53.7281	0.004793889	-0.1282711
17	588.0063	582.2421	5.764283	7.577009	0.01436055	-0.003792316	0.004454443	0.9898507	0.891087	1	0.0113109	48.26747	0.004453985	-0.373652
18	587.7335	581.9578	5.775721	7.383269	0.01454852	-0.0130256	0.004463294	0.9904426	0.892493	1	0.01139599	47.64382	0.004462886	-1.362875
19	585.639	579.7941	5.844967	13.06567	0.01090053	-0.01340657	0.00509686	0.9693264	0.8566364	1	0.0105412	63.58839	0.005092065	-0.4370725
20	586.3568	580.538	5.818776	11.63428	0.01156522	-0.005034072	0.004845301	0.9751978	0.8648319	1	0.0105865	59.93377	0.00484232	-0.2029686
21	582.1994	576.3974	5.801991	18.5084	0.0090994	0.01735322	0.005624505	0.9454492	0.8286089	1	0.01011727	76.17504	0.005607768	0.3181112
22	586.7858	580.9475	5.838259	8.094796	0.01389141	-0.01899158	0.00495542	0.9882086	0.8874129	1	0.01173352	49.89756	0.004954731	-1.610634
23	587.8308	582.0142	5.816579	7.835789	0.01412032	-0.002631396	0.004883836	0.9890406	0.889236	1	0.01174405	49.08862	0.004883249	-0.2401047
24	587.1621	581.4129	5.74917	5.843953	0.01635772	0.002545308	0.004431837	0.9946398	0.9043775	1	0.01204116	42.37431	0.00443171	0.4748491
25	585.9361	580.1083	5.827785	12.10915	0.01133206	-0.01034208	0.004878153	0.9732786	0.8620644	1	0.01051471	61.16693	0.004874669	-0.3870341
26	587.1446	581.3441	5.800418	6.334786	0.01571004	-0.01588871	0.004617777	0.9934068	0.9004368	1	0.01204537	44.12127	0.004617576	-2.40986
27	586.0747	580.354	5.720717	8.826138	0.01329974	0.00448399	0.004287879	0.9857537	0.8824117	1	0.01067967	52.11735	0.004287009	0.3147487
28	586.584	580.7672	5.816825	7.570667	0.01436658	0.005211027	0.00508	0.9898702	0.8911328	1	0.01208158	48.24718	0.005079479	0.5144279
29	586.3353	580.6901	5.64521	6.893044	0.01505879	-0.001090734	0.003970203	0.9918809	0.8961332	1	0.01093494	46.02942	0.003969941	-0.1343423
30	587.2194	581.3925	5.826869	7.115558	0.01482069	-0.00449792	0.00500416	0.9912389	0.8944657	1	0.01217909	46.76888	0.005003776	-0.5133969
31	587.0797	581.2422	5.837526	10.64274	0.01210014	-0.01164926	0.005005963	0.9790959	0.8707844	1	0.01100662	57.28421	0.005003776	-0.5572721
32	587.5448	581.713	5.831817	9.663105	0.01270576	-0.003559032	0.00508058	0.9827751	0.8769262	1	0.01136245	54.55376	0.005079073	-0.2066208
33	585.3541	579.5808	5.773311	6.575957	0.01541859	0.01294466	0.004726739	0.992763	0.8985556	1	0.01207308	44.95529	0.004726491	1.788683
34	587.9455	582.1737	5.771841	6.575957	0.01541859	-0.001807944	0.004523162	0.992763	0.8985556	1	0.01181023	44.95529	0.004522925	-0.2498205
35	586.4189	580.5744	5.84453	7.691249	0.01425302	-0.01074827	0.005259504	0.9894958	0.8902662	1	0.01224449	48.63161	0.005258923	-1.023232
36	586.7019	580.9058	5.796181	8.22087	0.01378387	-0.02006734	0.004555555	0.9877963	0.8865357	1	0.01120653	50.28683	0.004554877	-1.644362
37	587.9972	582.2497	5.747457	6.460802	0.01555573	-0.003514122	0.004370489	0.9930734	0.8994495	1	0.01166072	44.55896	0.004370279	-0.5073384
38	587.4722	581.7406	5.731633	7.755336	0.01419373	-0.004332085	0.004281446	0.9892948	0.8898083	1	0.01102449	48.83475	0.004280955	-0.4046709
39	585.7398	579.9202	5.81966	8.60272	0.01347256	0.008159971	0.005375261	0.9865194	0.8839176	1	0.01203483	51.44881	0.005374284	0.6053119
40	585.7401	579.9376	5.802501	5.187711	0.01736281	-0.001779992	0.004777828	0.9961126	0.9099116	1	0.01288072	39.92137	0.004777756	-0.4578911
41	587.9525	582.218	5.734478	6.593748	0.01539772	-0.005745055	0.004291816	0.9927146	0.8984182	1	0.01149645	45.01622	0.004291588	-0.7885699
42	586.0415	580.3301	5.711373	7.976661	0.01399445	0.008999317	0.004285061	0.9885907	0.8882409	1	0.01095144	49.53016	0.004284503	0.788769
43	587.4072	581.5684	5.838824	9.342667	0.01292387	-0.006343711	0.005173784	0.983935	0.8789985	1	0.0115642	53.6331	0.005172449	-0.3948785
44	587.2799	581.5352	5.744683	7.166143	0.01476811	0.00528293	0.00442356	0.9910904	0.8940902	1	0.01143045	46.93541	0.004423208	0.5929477
45	585.1785	579.5073	5.671185	4.022258	0.01971981	-0.002957108	0.004065487	0.99817	0.9206785	1	0.01266259	35.14978	0.004065473	-1.615903
46	584.4784	578.7251	5.753279	4.38219	0.01889235	0.002879628	0.004473372	0.9976159	0.9172045	1	0.01300096	36.68931	0.004473346	1.207853
47	587.6749	581.959	5.715831	5.892156	0.01629057	-0.002734616	0.004229119	0.9945234	0.9039835	1	0.01173838	42.54899	0.004228992	-0.4993317
48	587.3416	581.5467	5.794905	9.194452	0.01302852	0.004061097	0.004750629	0.9844636	0.8799685	1	0.01112598	53.20228	0.004749482	0.2613918
49	586.1018	580.2602	5.841554	6.760639	0.01520597	-0.01498307	0.005083477	0.9922541	0.8971379	1	0.01243376	45.58389	0.005083172	-1.934315
50	583.7445	577.9218	5.822739	17.41481	0.009395249	-0.0190912	0.006168043	0.9503716	0.8339205	1	0.01076571	73.77635	0.006152851	-0.3846826
51	587.5327	581.7203	5.812372	8.464703	0.01358268	0.002714316	0.004925158	0.9869856	0.8848573	1	0.01156692	51.03171	0.004924324	0.2085632
52	586.4124	580.7401	5.672332	7.390406	0.01454147	0.001169316	0.004072773	0.990421	0.8924409	1	0.01088339	47.66693	0.004072399	0.1220706
53	586.8988	581.0635	5.835284	8.74213	0.01336395	-0.01909884	0.004906876	0.9860432	0.8829758	1	0.0114521	51.86692	0.00490592	-1.368424
54	586.9853	581.1677	5.817577	6.315842	0.01573364	-0.004236037	0.004889441	0.9934563	0.900586	1	0.01240393	44.05511	0.004889231	-0.6473488
55	587.3197	581.4942	5.825444	6.852792	0.01510308	-0.008918311	0.004911391	0.9919951	0.8964376	1	0.01218008	45.89442	0.004911077	-1.114105
56	584.5842	578.9596	5.624552	7.922919	0.01404208	0.001139767	0.00391282	0.9887631	0.8886195	1	0.01048276	49.36216	0.003912325	0.1014304
57	587.6311	581.8594	5.771669	7.134753	0.01480067	0.003243911	0.004568896	0.9911827	0.8943231	1	0.01162951	46.83213	0.00456854	0.3679014
58	587.6664	581.9641	5.702284	6.087309	0.01602685	-0.004563947	0.004161532	0.9940418	0.9024041	1	0.01154957	43.24911	0.004161385	-0.7659915
59	586.6306	581.0006	5.629908	5.097199	0.01751643	-0.007229854	0.003905077	0.9962989	0.9107016	1	0.01169641	39.57126	0.003905023	-1.953436
60	586.91	581.2006	5.709456	7.286489	0.0146452	-0.01245014	0.00415058	0.9907334	0.8932021	1	0.01102598	47.32932	0.004150224	-1.343548
61	587.8599	582.0406	5.819367	8.708393	0.01339	-0.009061753	0.004818722	0.9861589	0.883203	1	0.01135981	51.76603	0.004817798	-0.6546991
62	586.9777	581.2051	5.772692	6.332552	0.01571282	0.005066252	0.004603967	0.9934126	0.9004543	1	0.01202841	44.11348	0.004603768	0.7690871
63	585.6327	579.7887	5.844004	6.614216	0.01537382	-0.01402353	0.005168392	0.9926587	0.8982604	1	0.01260618	45.08621	0.005168113	-1.910226
64	587.9541	582.1363	5.817745	8.506613	0.01354896	-0.006395124	0.0048353	0.9868446	0.8845712	1	0.01144668	51.1587	0.004834464	-0.4861223
65	586.8811	581.067	5.814058	8.195661	0.01380518	0.00617973	0.005047594	0.9878791	0.8867105	1	0.01180533	50.20922	0.005046852	0.5098411
66	587.66	581.878	5.782027	8.195661	0.01380518	0.002775618	0.004631228	0.9878791	0.8867105	1	0.01130796	50.20922	0.004630548	0.2289945
67	587.3021	581.5937	5.708429	5.302479	0.0171737	-0.002928637	0.004200127	0.9958704	0.9089198	1	0.01201097	40.36097	0.004200056	-0.7091798
68	586.4479	580.6972	5.750612	7.871389	0.0140882	-0.0183684	0.004307	0.9889275	0.8889837	1	0.01101616	49.20056	0.004306472	-1.658923
69	585.7673	580.0004	5.766923	7.819739	0.01413488	-0.0233102	0.004375861	0.9890915	0.88935	1	0.01112225	49.03808	0.00437534	-2.136885
70	587.9114	582.1219	5.789538	6.53793	0.01546348	-0.009427548	0.004579468	0.9928661	0.89885	1	0.0119008	44.82479	0.004579235	-1.321518
71	587.9041	582.1186	5.785503	8.305407	0.01371313	-0.00174398	0.004605803	0.9875172	0.8859511	1	0.01123921	50.54625	0.004605085	-0.1397102
72	585.4079	579.6898	5.718042	5.865093	0.01632817	-0.02271362	0.004163906	0.9945889	0.9042045	1	0.01166096	42.45101	0.004163784	-4.197581
73	587.2745	581.6059	5.668573	5.847595	0.01635262	-0.006399566	0.004029183	0.994631	0.9043477	1	0.01147935	42.38753	0.004029066	-1.191948
74	587.0931	581.2478	5.845342	9.730123	0.01266149	-0.009693507	0.005276237	0.9825296	0.8764969	1	0.01155898	54.74451	0.005274627	-0.5548523
75	587.0395	581.2301	5.80948	7.807028	0.01414644	-0.01902255	0.004659427	0.9891317	0.8894403	1	0.01148166	48.99801	0.004658876	-1.750284
76	586.9185	581.1575	5.761023	5.045219	0.01760651	-0.006422381	0.004435152	0.996404	0.9111584	1	0.012497	39.3688	0.004435095	-1.785956
