Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
39	1	427.4018	425.2497	2.152166	61.70404	0.004430741	-0.03682461	0.02239271	0.7573866	0.6677441	1	0.01408661	156.4405	0.02107465	-0.1517831
40	0	428.3053	425.2833	3.022011	39.34931	0.005959612	0.02502216	0.0178878	0.8511759	0.7433447	1	0.01460167	116.3074	0.01749161	0.1681324
41	1	427.4551	425.0707	2.384451	57.39691	0.004663607	-0.05803224	0.02119785	0.77479	0.6816038	1	0.01406119	148.629	0.02012271	-0.2576806
42	0	428.787	425.7507	3.036268	43.20437	0.005624966	0.003131874	0.01811058	0.8343735	0.7295448	1	0.01427385	123.2269	0.01761377	0.01890926
43	1	428.8622	425.3406	3.521648	30.34205	0.006945926	0.01331723	0.01593276	0.8914197	0.7774567	1	0.01487735	99.7919	0.01574492	0.1226487
44	0	429.6479	425.9913	3.65669	28.76759	0.007159241	-0.0114844	0.01554715	0.8985766	0.7837592	1	0.01492017	96.81852	0.01538722	-0.1132323
45	1	429.0028	425.9614	3.04143	42.3305	0.005697297	-0.04083956	0.0181701	0.838159	0.7326381	1	0.01438892	121.6625	0.01769418	-0.2523437
46	0	427.5807	424.3456	3.235092	31.02895	0.006857503	0.03254506	0.01683032	0.8883069	0.7747435	1	0.01519302	101.0787	0.01662036	0.2913794
47	1	429.2757	425.435	3.840681	22.59882	0.008179638	-0.04190361	0.01481556	0.9268045	0.8097923	1	0.0155683	84.74057	0.01473619	-0.5724888
48	0	427.5503	423.4097	4.140633	27.527	0.007338832	0.01187261	0.01360757	0.9042349	0.788813	1	0.01413249	94.44925	0.01348278	0.1239764
49	1	429.4729	425.3974	4.075529	22.59882	0.008179638	-0.04461657	0.01394429	0.9268045	0.8097923	1	0.01510359	84.74057	0.01386958	-0.6095533
50	0	424.9515	419.992	4.959489	15.9411	0.009838567	-0.03314247	0.01057598	0.9569287	0.8413073	1	0.01442584	70.45205	0.01055636	-0.7694785
51	1	426.933	423.2646	3.668427	33.89262	0.006515446	0.03719547	0.01521129	0.8754019	0.7636498	1	0.01407894	106.3852	0.01497513	0.2985237
52	0	427.108	424.4672	2.640862	35.27491	0.006363905	-0.001378837	0.01945166	0.8692178	0.7584098	1	0.01573458	108.9185	0.01911896	-0.010543
53	1	428.5865	425.5018	3.084745	41.38638	0.005777675	-0.06237938	0.01790549	0.8422642	0.7360024	1	0.01438417	119.9699	0.01745999	-0.3954674
54	0	428.3252	425.2537	3.071591	37.6019	0.006125874	0.02482893	0.01766043	0.8588787	0.7497403	1	0.01470956	113.1507	0.01730871	0.1759403
55	1	428.38	424.3072	4.072769	24.86623	0.007764269	-0.06937789	0.01387292	0.9164114	0.7999449	1	0.0146774	89.27398	0.01377599	-0.8299924
56	0	428.2717	425.4116	2.860152	41.70962	0.005749887	0.02229171	0.01859299	0.8408569	0.7348478	1	0.01462242	120.5497	0.01812209	0.1400733
57	1	429.7244	426.0797	3.644724	31.54494	0.006792802	-0.0252041	0.01566813	0.8859729	0.7727193	1	0.01458976	102.0414	0.01546441	-0.221036
58	0	428.379	424.3713	4.007698	18.82028	0.009019529	-0.0513096	0.01414162	0.9440386	0.8271182	1	0.0159719	76.8496	0.01409733	-0.9168741
59	1	425.3527	422.1606	3.192106	54.69698	0.004821226	-0.06010113	0.01789734	0.7858556	0.6904357	1	0.01313675	143.7699	0.0170766	-0.280657
60	0	428.7112	424.9019	3.809363	25.71334	0.007622286	0.01098332	0.0148176	0.9125304	0.7963546	1	0.01502957	90.93692	0.01470423	0.1255672
61	1	424.1407	421.9084	2.232258	63.43576	0.004342844	-0.1228216	0.02136579	0.7504735	0.6622449	1	0.01362265	159.6067	0.02003548	-0.4922186
62	0	427.6561	424.0408	3.615298	23.41065	0.008024527	0.0138223	0.01548471	0.9230839	0.8062245	1	0.01576436	86.37857	0.0153931	0.1797062
