Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
37	552.6644	549.7765	2.887825	9.739362	0.01265542	-0.03690985	0.01538284	0.9824957	0.8764378	1	0.01973203	54.77076	-0.5210123	0.01537813	27.13512
38	553.4737	549.0823	4.391432	10.19547	0.01236602	-0.01865833	0.01155599	0.9807991	0.8735539	1	0.01690572	56.05258	-0.3600451	0.01155173	17.41966
39	555.5598	552.0856	3.474248	8.608254	0.0134682	-0.04124396	0.01201243	0.9865006	0.8838801	1	0.01798809	51.46547	-0.6002268	0.01201024	40.80771
40	556.422	552.2325	4.189497	10.82719	0.01199522	-0.01994245	0.01329499	0.9783829	0.8696581	1	0.01785925	57.78527	-0.229934	0.01328878	9.484226
41	553.3753	550.9717	2.403594	9.735313	0.01265808	-0.06493178	0.01282204	0.9825105	0.8764637	1	0.0180168	54.75925	0.7184616	0.01281812	-44.07381
42	555.3949	551.5488	3.846175	9.735313	0.01265808	-0.01841106	0.01422498	0.9825105	0.8764637	1	0.01897688	54.75925	0.2307506	0.01422063	-14.01562
43	555.8448	552.3767	3.468143	10.34913	0.01227277	-0.04829631	0.01315216	0.9802182	0.8725961	1	0.01796739	56.47845	-0.5237456	0.01314702	23.5109
44	555.0911	550.6134	4.477663	9.560764	0.01277425	-0.06362241	0.01234563	0.983148	0.8775844	1	0.01775985	54.26129	0.1235511	0.01234212	-10.98337
45	556.3576	551.9971	4.360507	9.061409	0.01312461	-0.05462146	0.01283946	0.9849335	0.8808455	1	0.01835827	52.81278	-0.1772532	0.01283655	7.96211
46	555.7489	551.4002	4.348689	6.878318	0.01507495	-0.04194254	0.01265408	0.9919228	0.8962445	1	0.01953252	45.98008	-0.2318112	0.01265325	23.27484
47	556.2191	551.8392	4.379841	11.94548	0.01141089	-0.03093009	0.01314877	0.9739436	0.8630125	1	0.01732277	60.74436	-0.04224898	0.01313984	0.3921499
48	553.9137	550.0941	3.819538	13.60725	0.01067601	-0.04213414	0.01310194	0.9670442	0.8536428	1	0.01672582	64.92565	-0.4227129	0.01308771	11.12544
49	555.8269	552.002	3.824921	12.08149	0.01134527	-0.03618704	0.01492643	0.9733912	0.8622242	1	0.0184035	61.09571	0.1196236	0.01491587	-5.73599
50	555.1194	551.3436	3.775737	11.50957	0.01162877	-0.03566891	0.01265287	0.9756965	0.8655673	1	0.01715443	59.60625	0.4214693	0.0126454	-18.38809
51	553.7828	550.771	3.011791	6.209258	0.01586839	-0.03781171	0.01235401	0.9937322	0.9014298	1	0.01980092	43.68102	0.6287865	0.01235352	-105.7239
52	554.5754	550.7749	3.800538	14.18429	0.0104506	-0.003408575	0.01474354	0.964582	0.8505111	1	0.01755442	66.32604	-0.2259078	0.01472505	6.056186
53	555.9911	551.7047	4.286389	8.208226	0.01379455	-0.04772174	0.01344948	0.9878378	0.8866233	1	0.01926289	50.24792	-0.03958264	0.0134475	-0.7087981
54	556.7835	552.1955	4.588045	8.609492	0.01346722	-0.02439561	0.01232405	0.9864964	0.8838717	1	0.01821926	51.4692	0.0175559	0.0123218	-3.089131
55	556.6543	552.2175	4.436776	8.334101	0.01368936	-0.02307161	0.01267567	0.987422	0.8857533	1	0.01862911	50.63402	-0.1609458	0.01267367	10.80055
56	549.7884	545.1033	4.685079	5.146619	0.01743205	-0.06780044	0.01156349	0.9961977	0.9102694	1	0.02007862	39.7628	0.1079917	0.01156333	-46.1254
