Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
36	0	668.6475	663.932	4.715477	0.5518713	0.05323886	-0.01947431	0.005775853	1	0.970619	1	0.02479919	13.01957	-0.587651	0.005775853	1.397077e+07
37	1	666.9327	661.3894	5.543311	0.6184162	0.05029296	-0.02465624	0.006232816	0.9999999	0.968898	1	0.02503864	13.78219	-0.3115616	0.006232816	2751184
38	0	670.0731	664.3454	5.727698	0.5927794	0.051369	-0.01910526	0.005597423	0.9999999	0.9695495	1	0.02398058	13.49349	0.1690832	0.005597423	-2545374
39	1	668.5876	664.008	4.579655	0.5748051	0.05216598	-0.01764832	0.005751416	0.9999999	0.9700147	1	0.02449605	13.28734	-0.6202018	0.005751416	1.051459e+07
40	0	667.5846	661.7283	5.856247	0.9702444	0.04015199	-0.0174814	0.005578135	0.9999973	0.9610428	1	0.02116475	17.26308	-0.1063275	0.005578135	33313.92
41	1	667.957	663.0123	4.944685	0.5058504	0.05560792	-0.02294561	0.005058904	1	0.9718707	1	0.02371983	12.4649	0.4717601	0.005058904	-2.593948e+07
42	0	668.485	662.6318	5.853173	0.735017	0.04613165	-0.01358176	0.006030784	0.9999996	0.9660925	1	0.02358856	15.02542	-0.02035516	0.006030784	17175.29
43	1	667.027	663.4179	3.609149	0.8010536	0.04418927	-0.01644874	0.005568615	0.9999993	0.964602	1	0.02218437	15.68587	-0.8150689	0.005568615	1088411
44	0	669.6939	664.0714	5.622445	0.594209	0.05130717	-0.02197125	0.005406309	0.9999999	0.9695128	1	0.02355345	13.50975	-0.2874895	0.005406309	3521027
45	1	667.6724	662.6284	5.044088	0.5696671	0.0524007	-0.01234941	0.005773202	0.9999999	0.970149	1	0.02459756	13.22782	0.4454041	0.005773202	-8610207
46	0	668.4727	663.3752	5.097519	0.7869373	0.04458385	-0.01518169	0.005716807	0.9999994	0.9649153	1	0.02257775	15.54705	0.4330595	0.005716807	-693012.4
47	1	667.6835	663.2903	4.393265	0.6869894	0.04771695	-0.0173147	0.006012015	0.9999998	0.967219	1	0.02395308	14.52623	0.6056674	0.006012015	-2622093
48	0	668.4442	663.4267	5.017445	0.7183209	0.04666469	-0.01344451	0.005576933	0.9999997	0.9664798	1	0.02281429	14.85378	0.4562694	0.005576933	-1412308
49	1	668.5629	663.3466	5.216306	0.5625515	0.05273106	-0.01730351	0.005945146	1	0.9703361	1	0.02503972	13.14495	-0.4451248	0.005945146	8943465
50	0	667.2454	662.1398	5.105635	0.414326	0.06144359	-0.02411092	0.00576936	1	0.9745423	1	0.02662668	11.28103	0.4259735	0.00576936	-1.524155e+08
51	1	669.0453	663.616	5.429251	0.6306386	0.04980321	-0.02035395	0.005147304	0.9999999	0.9685922	1	0.02264298	13.91772	0.3176893	0.005147304	-2771820
52	0	668.5965	663.7506	4.845907	0.7216579	0.04655668	-0.02080141	0.005655048	0.9999997	0.966402	1	0.02294691	14.88824	-0.5575671	0.005655048	1559143
53	1	669.888	664.1263	5.761653	0.6030096	0.05093139	-0.01653199	0.005345427	0.9999999	0.9692879	1	0.02333453	13.60943	0.1429418	0.005345427	-1875418
54	0	669.5297	664.1827	5.347031	0.6212117	0.05017968	-0.01747052	0.00569113	0.9999999	0.9688278	1	0.02389891	13.81331	0.3502178	0.00569113	-3400429
55	1	667.9878	662.5746	5.413153	0.7890484	0.04452417	-0.01308112	0.005960137	0.9999993	0.9648683	1	0.0230378	15.56788	0.3222852	0.005960137	-508702.1
56	0	667.7523	662.7514	5.000932	0.5200797	0.05484193	-0.02612469	0.005560323	1	0.9714778	1	0.0246957	12.639	0.459885	0.005560323	-1.99491e+07
57	1	669.1802	663.9836	5.196591	0.7084019	0.04699026	-0.0182921	0.005422109	0.9999997	0.966712	1	0.02257371	14.75087	-0.4576956	0.005422109	1466072
58	0	667.4096	661.5379	5.871689	0.6933941	0.04749606	-0.02765449	0.005527516	0.9999997	0.9670665	1	0.02291442	14.59378	6.567219e-06	0.005527516	-108486.9
59	1	670.2105	664.3424	5.868044	0.5910278	0.05144506	-0.01932295	0.005595499	0.9999999	0.9695945	1	0.0239942	13.47354	-0.03577317	0.005595499	227976.2
60	0	665.8119	660.0575	5.754404	0.3217342	0.06972669	-0.02628258	0.005304543	1	0.9775665	1	0.0271981	9.940916	-0.1891721	0.005304543	7.789466e+08
61	1	668.1993	662.668	5.531338	0.4033921	0.06227073	-0.01792197	0.005367368	1	0.9748805	1	0.02585459	11.13119	-0.3258747	0.005367368	1.358455e+08
62	0	668.7014	662.8733	5.828066	0.6858266	0.04775738	-0.01254587	0.005863963	0.9999998	0.9672467	1	0.02366633	14.51393	0.06668467	0.005863963	-337814.4
63	1	668.7078	662.8536	5.85414	0.716456	0.04672539	-0.02237186	0.005977561	0.9999997	0.9665233	1	0.02363488	14.83449	-0.06614186	0.005977561	134183.2
64	0	667.4283	661.6033	5.825016	0.8456841	0.04300744	-0.02427974	0.005472799	0.9999989	0.9636293	1	0.02169659	16.11691	0.094251	0.005472799	-110718.1
65	1	667.5619	662.6857	4.876205	0.4616163	0.05821127	-0.01888952	0.005924118	1	0.9731287	1	0.02626216	11.90744	-0.5437594	0.005924118	6.325136e+07
66	0	667.0443	662.4554	4.588924	0.7871901	0.04457669	-0.01296177	0.005290327	0.9999994	0.9649097	1	0.02171752	15.54954	0.5653688	0.005290327	-892095.8
67	1	667.6733	662.086	5.58731	0.3626701	0.06567375	-0.02136012	0.005410437	1	0.9761821	1	0.02665797	10.5544	-0.2981424	0.005410437	3.623377e+08
68	0	668.2453	663.5923	4.652972	0.5549816	0.05308947	-0.02369601	0.005642669	1	0.9705363	1	0.02447719	13.05621	-0.6039267	0.005642669	1.360187e+07
69	1	667.3645	661.9356	5.42889	0.5046399	0.05567457	-0.01445846	0.00495841	1	0.9719044	1	0.02349712	12.44998	-0.3638916	0.00495841	1.871679e+07
70	0	666.9144	661.4813	5.433048	0.5859045	0.0516695	-0.02365702	0.006262318	0.9999999	0.9697266	1	0.02543898	13.41502	0.3044662	0.006262318	-4885525
71	1	669.9549	664.1156	5.839251	0.6796055	0.04797547	-0.01704278	0.005439818	0.9999998	0.9673956	1	0.02284635	14.44795	-0.1213411	0.005439818	476802.3
72	0	669.4515	663.9564	5.495117	0.6374302	0.04953719	-0.01500014	0.005552421	0.9999999	0.9684235	1	0.02345427	13.99246	0.2927889	0.005552421	-2318010
73	1	666.3493	664.1826	2.166692	0.5302072	0.05431564	-0.01827667	0.00555636	1	0.9712015	1	0.02456816	12.76147	0.9795386	0.00555636	-3.461523e+07
74	0	669.2513	663.6963	5.555069	0.6230466	0.05010573	-0.0187714	0.005134903	0.9999999	0.9687818	1	0.02268427	13.83369	0.2627485	0.005134903	-2542716
75	1	669.2975	663.6561	5.641335	0.6090829	0.05067683	-0.01689177	0.005888331	0.9999999	0.9691336	1	0.02442957	13.67779	-0.2711804	0.005888331	2756749
76	0	668.9203	663.2853	5.634965	0.5928438	0.05136621	-0.01303515	0.005418637	0.9999999	0.9695479	1	0.02359385	13.49422	-0.2787041	0.005418637	3590147
77	1	668.8965	663.2161	5.680373	0.8030607	0.04413402	-0.01749236	0.005866323	0.9999993	0.9645577	1	0.02275541	15.70551	-0.2530003	0.005866323	315346.4
78	0	669.9005	664.0829	5.817551	0.5144276	0.05514239	-0.01774472	0.005418637	1	0.9716332	1	0.02444572	12.57013	-0.1407338	0.005418637	5557187
79	1	668.3122	663.1368	5.17544	0.6131862	0.05050699	-0.02456235	0.005305593	0.9999999	0.9690298	1	0.02315036	13.72379	0.4088376	0.005305593	-4450217
80	0	666.4936	661.7401	4.753453	0.930211	0.0410069	-0.02064984	0.005525658	0.999998	0.9618549	1	0.02128803	16.90318	0.5283837	0.005525658	-270561.9
81	1	668.0627	662.2305	5.832172	0.8106676	0.04392646	-0.01838302	0.005151655	0.9999992	0.9643902	1	0.02127411	15.77972	-0.1272368	0.005151655	136399.4
82	0	668.3993	662.5506	5.848694	0.4244487	0.06070648	-0.0247066	0.005279536	1	0.9742332	1	0.02531806	11.41801	0.0244206	0.005279536	-1.314409e+07
83	1	666.7761	661.2507	5.525413	0.6380614	0.04951268	-0.0227392	0.00483203	0.9999999	0.9684079	1	0.02187449	13.99939	0.2665987	0.00483203	-2162048
84	0	669.078	663.2422	5.835816	0.7025061	0.04718703	-0.01353824	0.005818539	0.9999997	0.9668508	1	0.02343329	14.68936	0.0597838	0.005818539	-260520.8
85	1	668.2034	662.3701	5.833337	0.7877573	0.04456064	-0.02354859	0.005411309	0.9999993	0.964897	1	0.02196048	15.55514	-0.1363808	0.005411309	173156.9
86	0	666.0953	660.9178	5.177528	1.053962	0.03852433	-0.01725485	0.005903569	0.9999955	0.9593968	1	0.0213275	17.99245	-0.4628281	0.005903569	99300.22
87	1	668.5202	663.0169	5.503292	0.5940226	0.05131522	-0.01744086	0.004983791	0.9999999	0.9695176	1	0.02261611	13.50763	-0.3356392	0.004983791	4230487
88	0	669.8914	664.1693	5.722074	0.5434192	0.05365129	-0.02144367	0.005424584	1	0.9708449	1	0.02412617	12.91949	-0.2267491	0.005424584	5759590
89	1	668.7907	663.0194	5.771299	0.4794761	0.05711684	-0.02503858	0.005514169	1	0.9726138	1	0.02509789	12.1356	0.1328258	0.005514169	-1.340823e+07
90	0	669.0944	663.2672	5.827224	0.768269	0.04512228	-0.02134538	0.005743224	0.9999995	0.965334	1	0.02276609	15.36153	0.08325511	0.005743224	-192091.6
91	1	669.7041	663.8513	5.852737	0.5056987	0.05561626	-0.02215331	0.005312893	1	0.9718749	1	0.0243098	12.46303	0.02818496	0.005312893	-2646492
92	0	667.2825	662.135	5.147412	0.53214	0.0542169	-0.02560385	0.005945475	1	0.971149	1	0.02539076	12.78471	0.4129716	0.005945475	-1.474195e+07
93	1	670.1156	664.2516	5.864013	0.5938917	0.05132087	-0.02073714	0.005589496	0.9999999	0.969521	1	0.02395236	13.50615	0.009731889	0.005589496	-405822.5
94	0	668.3206	662.9019	5.418735	0.6335458	0.04968882	-0.01566822	0.006065966	0.9999999	0.9685199	1	0.02455242	13.94976	-0.3704123	0.006065966	2804315
95	1	667.2726	661.4641	5.808571	0.6510231	0.04901731	-0.01895159	0.006401865	0.9999998	0.9680886	1	0.02505203	14.14087	0.03597097	0.006401865	-350301.8
96	0	668.7016	663.4281	5.273502	0.4994259	0.05596444	-0.0235383	0.005254401	1	0.9720499	1	0.02425117	12.38549	-0.4288203	0.005254401	2.381577e+07
97	1	667.9722	662.5439	5.428284	0.4960462	0.05615476	-0.02331001	0.005964137	1	0.9721446	1	0.02588106	12.34352	0.3132319	0.005964137	-2.101686e+07
98	0	666.2083	661.6165	4.591754	0.5827328	0.05180992	-0.01218421	0.006090095	0.9999999	0.9698087	1	0.0251208	13.37866	-0.6126663	0.006090095	9351224
99	1	668.2773	662.9213	5.355957	0.4141893	0.06145373	-0.02234709	0.00526464	1	0.9745465	1	0.02543744	11.27917	0.3432785	0.00526464	-1.242166e+08
