Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
0	357.4445	353.4764	3.968114	6.107342	0.0160005	-0.04442871	0.01423598	0.9939914	0.9022434	1	0.02134398	43.32035	0.01423547	-7.394151
1	359.3997	355.6759	3.723797	10.8497	0.0119826	-0.03261877	0.01516627	0.9782955	0.8695213	1	0.01906469	57.84615	0.01515912	-1.50286
2	356.4936	352.8063	3.687375	6.837281	0.01512025	-0.06992836	0.01516008	0.9920389	0.8965552	1	0.02141141	45.8423	0.01515912	-8.783764
3	357.5602	353.384	4.17621	9.245768	0.01299201	-0.05941637	0.01343467	0.9842812	0.8796318	1	0.01868386	53.35181	0.01343135	-3.779946
4	354.9841	352.5736	2.410499	16.21776	0.009750982	-0.1010437	0.01968177	0.9557058	0.839899	1	0.01959166	71.08486	0.01964316	-2.281195
5	357.8417	354.3991	3.442601	7.808042	0.01414551	-0.05142668	0.01615424	0.9891285	0.8894331	1	0.02137803	49.00121	0.01615233	-4.730423
6	355.6638	351.6477	4.016087	7.877848	0.01408239	-0.08369556	0.01385421	0.9889069	0.888938	1	0.0197535	49.22084	0.0138525	-7.54486
7	357.5535	353.4229	4.130579	6.987091	0.01495678	-0.06195215	0.01358058	0.9916118	0.8954253	1	0.02015548	46.34335	0.01357962	-7.385663
8	358.3191	354.4546	3.86451	6.987091	0.01495678	-0.04944278	0.01460752	0.9916118	0.8954253	1	0.02090366	46.34335	0.01460649	-5.89435
9	358.9204	355.3142	3.606159	8.318567	0.01370221	-0.04975846	0.01556027	0.9874735	0.8858603	1	0.02064995	50.58653	0.01555783	-3.972263
10	358.9334	355.306	3.627462	9.196497	0.01302706	-0.0621559	0.01543534	0.9844563	0.879955	1	0.02005379	53.20825	0.01543161	-3.998785
11	359.3426	356.2045	3.138033	13.05391	0.01090555	-0.04276235	0.01732865	0.9693756	0.856702	1	0.01944112	63.55911	0.0173124	-1.396351
12	358.7246	355.54	3.184656	10.31681	0.01229222	-0.0506294	0.01712111	0.9803408	0.8727971	1	0.02051616	56.3891	0.01711449	-2.575348
13	355.9122	352.4454	3.466774	17.6472	0.009330213	-0.008688919	0.0161081	0.949329	0.8327804	1	0.01733736	74.29061	0.01606674	-0.1714773
14	355.2343	353.2473	1.986963	18.35023	0.009140637	-0.07536673	0.02159287	0.9461635	0.8293689	1	0.01986819	75.83139	0.02153028	-1.39992
15	358.5394	355.799	2.740386	15.94006	0.009838901	-0.04071117	0.01884092	0.9569333	0.8413126	1	0.01925481	70.44965	0.01880597	-0.9453044
16	358.201	354.1962	4.004846	6.881729	0.0150712	-0.03548625	0.01411712	0.9919131	0.8962187	1	0.02062823	45.99151	0.0141162	-4.388109
17	358.2981	355.2161	3.082013	13.15477	0.01086267	-0.009454082	0.01750362	0.968953	0.8561401	1	0.01950057	63.80999	0.01748675	-0.3045089
18	357.6171	354.2477	3.369409	15.11529	0.01011351	-0.004951525	0.01643205	0.9605525	0.8455752	1	0.01823106	68.53675	0.01640648	-0.1255218
19	356.2489	354.1844	2.064528	23.71503	0.007968283	-0.01241566	0.02149985	0.9216885	0.8048992	1	0.01851037	86.98827	0.021368	-0.1585421
20	358.1581	355.2916	2.866556	18.06562	0.009216121	-0.05258883	0.01835497	0.947447	0.8307432	1	0.01839356	75.2103	0.01830428	-1.000682
21	357.686	355.2391	2.446903	18.93813	0.008989835	-0.04654871	0.01997275	0.9435048	0.8265576	1	0.01895002	77.10344	0.019909	-0.8239417
22	358.4541	355.488	2.966072	12.93165	0.01095818	-0.06371227	0.01789166	0.9698865	0.8573858	1	0.01980203	63.25384	0.01787544	-2.115741
23	357.8919	354.0096	3.88231	7.658344	0.01428374	-0.06716122	0.01446615	0.9895984	0.890502	1	0.02032884	48.52699	0.01446459	-6.456835
24	358.9474	355.6839	3.263504	14.07117	0.01049374	-0.02077384	0.01686866	0.965067	0.8511205	1	0.0188157	66.05342	0.01684807	-0.5946762
25	358.0537	354.9263	3.1274	15.61018	0.009946236	-0.07067377	0.01726679	0.9583858	0.8430057	1	0.01853319	69.68939	0.01723689	-1.69831
26	358.5061	354.5289	3.9772	7.606497	0.01433256	-0.05735427	0.01416829	0.9897595	0.8908746	1	0.02015281	48.36171	0.01416681	-5.600716
27	358.443	354.4151	4.02787	10.06969	0.0124439	-0.053118	0.01400945	0.9812712	0.8743431	1	0.01867255	55.70177	0.01400453	-2.836164
28	358.7277	355.4178	3.309974	14.52978	0.01032188	-0.01931711	0.01669669	0.9630943	0.8486632	1	0.01856563	67.15317	0.01667395	-0.5234185
29	357.7654	354.5477	3.217673	8.998038	0.01317111	-0.05787586	0.01696503	0.9851558	0.8812655	1	0.02113993	52.62631	0.01696129	-3.898889
30	359.2648	355.5842	3.680575	11.84089	0.0114621	-0.04835232	0.01530702	0.9743666	0.8636215	1	0.01873235	60.47299	0.01529696	-1.8863
31	358.775	355.1042	3.670819	8.006466	0.01396824	-0.03562749	0.01534717	0.9884947	0.8880314	1	0.02070618	49.62309	0.01534514	-3.096614
32	358.1455	353.9596	4.185885	8.795581	0.01332299	-0.03562749	0.0134601	0.9858592	0.8826166	1	0.01893826	52.02639	0.01345741	-2.51949
33	357.7401	354.4359	3.3042	9.09489	0.01310023	-0.06768695	0.01659381	0.9848156	0.8806242	1	0.02085103	52.91105	0.01658998	-4.457676
34	359.5215	356.1415	3.379991	11.98527	0.01139158	-0.05100894	0.01640583	0.9737823	0.8627815	1	0.01933331	60.84732	0.01639456	-1.945588
35	355.3586	352.2449	3.113706	7.985836	0.01398636	-0.06983974	0.01728045	0.9885612	0.8881763	1	0.02198594	49.55878	0.01727819	-6.105492
36	359.4683	356.2145	3.253796	12.17202	0.01130219	-0.03633193	0.01690255	0.9730223	0.8617018	1	0.01954665	61.32859	0.01689025	-1.346738
37	358.744	354.8022	3.941811	9.986655	0.0124961	-0.05669705	0.01431099	0.9815811	0.8748665	1	0.01891198	55.46909	0.01430614	-3.078198
38	358.53	354.5114	4.018584	9.762279	0.01264041	-0.05534296	0.01403383	0.9824114	0.8762914	1	0.01883578	54.83581	0.01402949	-3.146533
39	359.4373	355.815	3.622257	10.72409	0.01205354	-0.05534296	0.01549224	0.9787822	0.8702866	1	0.01932545	57.50567	0.01548527	-2.608328
40	359.1245	355.6255	3.498989	13.50347	0.01071802	-0.04526002	0.01599148	0.9674838	0.8542122	1	0.0185147	64.67117	0.01597457	-1.391921
41	358.5272	355.1407	3.386487	13.50347	0.01071802	-0.06793736	0.01631096	0.9674838	0.8542122	1	0.01869873	64.67117	0.01629371	-2.089337
42	358.9248	355.4439	3.480962	14.02959	0.01050972	-0.03292992	0.01607596	0.965245	0.851345	1	0.01838226	65.95299	0.01605654	-0.947486
43	359.299	355.4243	3.87467	9.954083	0.01251675	-0.03775331	0.01460607	0.9817023	0.8750724	1	0.01912174	55.37757	0.01460118	-2.06328
44	358.1208	354.7092	3.411633	12.37053	0.01120933	-0.00514043	0.01626023	0.9722095	0.8605624	1	0.01909274	61.83662	0.01624767	-0.1849711
45	358.9634	355.5415	3.421867	9.78756	0.01262391	-0.02707435	0.01626944	0.9823184	0.8761301	1	0.02026741	54.9075	0.01626435	-1.531217
46	358.5155	355.6781	2.837403	14.56863	0.01030769	-0.02322482	0.01846485	0.9629265	0.8484567	1	0.0195105	67.24565	0.01843947	-0.626453
47	356.889	352.5959	4.293058	6.911442	0.01503867	-0.06164103	0.01298287	0.9918286	0.8959943	1	0.01976083	46.091	0.01298201	-7.54347
