Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
36	0	596.2021	592.6557	3.546457	14.94974	0.01017124	-0.01609436	0.01191752	0.9612737	0.8464429	1	0.01557022	68.14778	-0.5909851	0.01189965	14.25397
37	1	597.4656	592.8865	4.57908	12.43578	0.01117928	-0.03154197	0.0123385	0.9719413	0.8601896	1	0.01660937	62.00285	-0.09434687	0.01232878	2.143993
38	0	598.1103	594.1861	3.924218	18.5886	0.009078679	-0.01875136	0.01406344	0.9450867	0.8282246	1	0.01597983	76.3489	0.2194474	0.01402103	-4.118276
39	1	595.9516	591.1253	4.826287	10.27696	0.01231632	-0.02576787	0.01138429	0.9804916	0.8730452	1	0.0167459	56.27877	-0.09217287	0.01137996	3.311746
40	0	598.2873	594.0088	4.278587	19.37541	0.008881895	-0.02591365	0.01356759	0.9415216	0.82449	1	0.01552456	78.04046	-0.05668998	0.01352119	0.4695954
41	1	595.7436	591.2637	4.479846	10.55541	0.01215075	-0.02576787	0.01127674	0.9794313	0.8713208	1	0.0165542	57.04563	0.2995918	0.01127197	-15.51863
42	0	593.8058	590.68	3.125879	25.33615	0.007684699	-0.07941341	0.01726939	0.9142581	0.7979477	1	0.01629172	90.19835	-0.212257	0.01714243	1.337086
43	1	592.4152	589.39	3.025193	12.17388	0.01130131	-0.03650612	0.01049575	0.9730147	0.8616911	1	0.01540232	61.33336	0.7206056	0.0104881	-27.33583
44	0	596.4104	592.5017	3.908743	24.8009	0.007775494	0.01280451	0.01467428	0.9167108	0.8002236	1	0.01510627	89.1451	0.09666891	0.01457248	-0.9102372
45	1	597.9024	593.7538	4.148656	15.64653	0.00993425	-0.01470731	0.01339495	0.9582261	0.8428184	1	0.01631372	69.77348	-0.2420487	0.01337157	5.200135
46	0	594.8005	591.1713	3.629149	26.78049	0.007452313	-0.04825643	0.01422197	0.9076465	0.7918942	1	0.0145593	93.01101	-0.3931607	0.01410067	3.341449
47	1	597.9187	593.5293	4.389418	16.42202	0.009687673	-0.04495687	0.01287179	0.9548003	0.8388658	1	0.01579225	71.5494	-0.1599332	0.01284549	2.383807
48	0	596.9927	593.1734	3.81929	23.90553	0.007933588	-0.01950698	0.01420382	0.9208152	0.8040731	1	0.01501248	87.36869	0.2610581	0.01411476	-3.282111
49	1	596.7997	592.9208	3.878952	17.3023	0.009427183	-0.05325901	0.0145173	0.9508756	0.8344748	1	0.01654432	73.52644	0.1610405	0.01448227	-4.20134
50	0	597.437	593.4062	4.030839	21.1236	0.008482373	-0.009264409	0.013692	0.9335556	0.8164069	1	0.01524078	81.71618	-0.2696374	0.01363155	3.649025
51	1	595.6044	593.4653	2.139097	21.68439	0.00836391	-0.0241042	0.01374046	0.9309914	0.8138715	1	0.01516074	82.87358	-0.7860749	0.01367503	10.2556
52	0	593.7124	590.527	3.185411	14.53217	0.01032101	0.01448697	0.01405788	0.963084	0.8486505	1	0.01703476	67.15885	-0.528394	0.01403872	14.17745
53	1	597.052	593.0351	4.016916	20.36645	0.008649487	-0.06258126	0.01436869	0.9370118	0.8198731	1	0.0157659	80.13737	0.05528034	0.01431169	-1.81589
54	0	596.3953	591.6444	4.750981	13.64679	0.01066013	-0.02229621	0.01128309	0.9668764	0.8534263	1	0.01550994	65.0224	0.1540633	0.01127071	-5.170226
55	1	598.024	593.935	4.088993	17.69872	0.009315958	-0.04197907	0.01393236	0.9490976	0.8325284	1	0.01611169	74.40428	0.1272473	0.01389626	-3.19728
56	0	595.7611	593.1188	2.642298	22.34206	0.008230317	-0.05219298	0.01415595	0.9279807	0.810931	1	0.01526486	84.21877	-0.6630473	0.01408253	7.818763
57	1	597.9403	593.773	4.167383	16.3938	0.009696353	-0.01657071	0.0138912	0.9549255	0.8390082	1	0.01641304	71.48535	0.04611354	0.01386298	-1.344568
58	0	597.9015	594.1	3.801585	18.53777	0.009091798	-0.02941577	0.01349892	0.9453165	0.8284681	1	0.01566713	76.23873	-0.3960668	0.01345855	6.308899
59	1	597.186	592.9063	4.279759	16.93982	0.009532107	-0.004208806	0.01260482	0.9524958	0.8362711	1	0.01550164	72.7171	-0.2839138	0.01257637	5.604096
60	0	595.658	592.6631	2.994824	21.33381	0.008437457	-0.05420357	0.01588898	0.9325948	0.8154534	1	0.01637453	82.1512	0.3964848	0.01581679	-6.289769
61	1	597.1411	593.1556	3.98551	17.41393	0.009395498	0.0003436447	0.01431682	0.9503755	0.8339248	1	0.01640205	73.77439	-0.1704012	0.01428156	3.270335
62	0	593.9226	591.7733	2.149384	33.68872	0.0065385	-0.06347276	0.01780125	0.8763167	0.7644288	1	0.01525735	106.0101	0.5046128	0.01752893	-4.088454
63	1	597.8403	593.82	4.020252	14.93662	0.01017585	-0.02649896	0.01310788	0.9613308	0.8465119	1	0.01633302	68.11687	-0.3480224	0.01308828	7.966684
64	0	594.7747	591.8297	2.945	37.97179	0.006089838	-0.02776714	0.01821112	0.8572437	0.7483786	1	0.01489314	113.8203	-0.252066	0.01783998	1.319135
65	1	597.883	593.6274	4.255603	14.93662	0.01017585	-0.01752443	0.01265842	0.9613308	0.8465119	1	0.01605056	68.11687	-0.2926958	0.01263949	6.82333
66	0	595.7998	591.7478	4.052025	13.67337	0.01064949	-0.05290576	0.01371029	0.9667636	0.8532809	1	0.01708845	65.08736	0.1863503	0.01369514	-7.01226
67	1	597.2298	593.1971	4.032684	15.88084	0.009857934	-0.04197498	0.01241142	0.9571945	0.8416154	1	0.01564295	70.31363	0.3588464	0.01238868	-9.004932
68	0	595.1226	592.0377	3.084914	20.85328	0.00854106	-0.04605603	0.01635339	0.9347905	0.8176386	1	0.01671378	81.15471	0.3233101	0.01628385	-5.340987
69	1	596.0646	591.8557	4.208927	16.51628	0.009658836	0.01818962	0.01348717	0.9543817	0.8383909	1	0.01614128	71.76301	0.07974246	0.01345911	-1.26956
70	0	595.6808	592.7101	2.970705	23.42188	0.008022436	-0.04334587	0.01659667	0.9230324	0.8061755	1	0.01631844	86.40109	0.3458585	0.01649835	-4.710874
71	1	596.6094	592.6573	3.952108	19.36657	0.008884043	-0.06592966	0.01465933	0.9415617	0.8245316	1	0.01613903	78.02159	0.005329999	0.01460927	-1.21407
72	0	596.4826	593.3405	3.142135	21.7026	0.008360136	-0.01036351	0.01582262	0.9309081	0.8137896	1	0.01626525	82.91099	-0.4106755	0.01574708	5.383228
73	1	597.0673	594.1638	2.903473	19.07273	0.008956238	-0.02163176	0.01375082	0.9428949	0.8259191	1	0.01569431	77.39267	-0.6304347	0.01370598	10.03065
74	0	597.0906	593.1844	3.906171	19.02123	0.008969053	-0.0007439343	0.01327873	0.9431283	0.8261632	1	0.01543358	77.2821	-0.3727237	0.01323579	6.167959
75	1	597.2445	593.4036	3.840942	19.5118	0.008848928	-0.002854138	0.01498068	0.9409021	0.823849	1	0.01628269	78.3312	0.09001328	0.01492836	-1.481403
76	0	597.2843	593.4664	3.817945	19.47881	0.008856872	-0.02241593	0.01529469	0.941052	0.8240038	1	0.01645984	78.26095	-0.003722945	0.01524154	-0.3208325
77	1	597.8889	594.0054	3.883524	16.5188	0.009658071	-0.03657274	0.01347228	0.9543706	0.8383783	1	0.01613173	71.7687	0.3104524	0.01344423	-7.294838
78	0	596.1429	592.986	3.156848	14.64065	0.01028151	-0.02641854	0.01390439	0.9626149	0.8480744	1	0.01690905	67.41688	-0.5574532	0.01388495	13.647
79	1	596.8329	594.0369	2.795969	22.13835	0.008271105	-0.02634811	0.0152307	0.9289135	0.8118381	1	0.01587291	83.80346	-0.5632144	0.01515373	6.989086
80	0	594.8289	590.4261	4.4028	10.82726	0.01199518	-0.02405094	0.0130459	0.9783827	0.8696577	1	0.01769112	57.78546	-0.06028951	0.0130398	1.616077
81	1	592.9437	589.9437	2.999947	26.79928	0.007449404	0.03189672	0.01817927	0.9075606	0.7918163	1	0.0164575	93.04734	-0.0250029	0.01802393	0.5905313
82	0	596.6178	593.0143	3.603491	22.97556	0.008106711	0.002684729	0.01606104	0.9250782	0.8081305	1	0.01613705	85.50288	-0.005227681	0.01597088	0.1003812
83	1	597.9987	594.1257	3.872999	22.0909	0.008280681	-0.02413014	0.01479409	0.9291308	0.8120499	1	0.0156528	83.70654	-0.1824026	0.01471978	2.050902
84	0	595.6735	590.8595	4.814047	11.6951	0.01153458	-0.008407371	0.01118334	0.9749537	0.8644745	1	0.01606207	60.09295	-0.1681927	0.01117632	6.211406
85	1	596.2616	592.0306	4.230923	24.44495	0.007837385	-0.03352218	0.01379274	0.9183424	0.8017475	1	0.01470368	88.44113	0.001459506	0.01370077	-0.426935
86	0	597.2381	593.561	3.677078	15.90375	0.009850559	-0.02042213	0.01398267	0.9570935	0.8414982	1	0.01659742	70.36628	0.337779	0.01395693	-8.010625
87	1	597.3229	593.6028	3.720136	19.56955	0.008835067	-0.01909906	0.01518795	0.9406397	0.8235781	1	0.0163821	78.4541	0.1598172	0.01513443	-2.854253
88	0	596.4511	593.6628	2.788355	21.47248	0.008408165	-0.04857331	0.01501268	0.9319607	0.8148265	1	0.01588893	82.43739	-0.5767407	0.01494318	7.18594
89	1	597.1162	593.3824	3.733774	20.04792	0.008722419	-0.02765619	0.01551169	0.9384633	0.8213468	1	0.01644989	79.46731	-0.1179727	0.01545295	1.349712
90	0	594.2736	590.3293	3.944267	14.10559	0.01048056	-0.06298225	0.01151315	0.9649195	0.8509349	1	0.01553475	66.13646	0.4524126	0.01149899	-14.23938
91	1	596.2652	592.5143	3.750959	21.53508	0.008395029	-0.06790873	0.01426371	0.9316744	0.814544	1	0.01547542	82.56639	0.2654411	0.01419712	-4.613401
92	0	597.4479	593.9529	3.495003	15.84721	0.009868788	-0.02577245	0.01293138	0.9573427	0.8417876	1	0.01597605	70.2363	-0.5371545	0.01290785	11.45101
93	1	595.9438	593.0846	2.859213	29.47258	0.007061815	-0.01543803	0.01723927	0.8953683	0.7809223	1	0.01560388	98.15425	0.3339012	0.01705053	-3.004852
94	0	595.9174	592.6956	3.221813	26.50303	0.007495601	0.01019258	0.01525744	0.9089156	0.7930475	1	0.01512374	92.47386	-0.4319262	0.01513086	4.422019
95	1	598.0883	594.1418	3.946452	21.45786	0.008411243	-0.02452726	0.01446974	0.9320276	0.8148925	1	0.01560182	82.40723	0.1379091	0.01440288	-2.25183
96	0	597.4777	593.2627	4.214954	18.07906	0.009212519	-0.05530146	0.01342341	0.9473864	0.8306781	1	0.01572663	75.2397	0.1249923	0.01338625	-3.301762
97	1	597.3174	593.0783	4.239062	21.51258	0.008399744	-0.02203633	0.01346263	0.9317773	0.8146455	1	0.01503879	82.52004	-0.1705256	0.01339997	2.006013
98	0	597.1949	593.6894	3.505436	18.9774	0.00898	-0.03885988	0.01484231	0.943327	0.8263712	1	0.0163269	77.18788	0.3167849	0.01479464	-5.958593
99	1	597.5042	593.2822	4.222035	16.36798	0.009704311	-0.02702409	0.01237302	0.95504	0.8391386	1	0.01549656	71.42673	-0.3457396	0.01234801	6.743133
100	0	597.0454	593.4191	3.626206	16.64823	0.009618864	-0.03422274	0.01254471	0.9537951	0.8377281	1	0.01553486	72.06123	0.4749924	0.01251793	-10.54581
101	1	595.8733	591.8044	4.068876	17.63067	0.009334799	-0.07424196	0.01414085	0.9494033	0.8328613	1	0.0162482	74.25411	-0.06693726	0.01410465	-0.2113082
102	0	597.3464	592.7568	4.589568	13.1033	0.0108845	-0.01200045	0.01219289	0.9691688	0.8564266	1	0.01629193	63.68207	-0.1321209	0.0121813	3.763949
103	1	597.832	593.6542	4.177766	17.75069	0.009301638	-0.033398	0.0129147	0.9488641	0.8322746	1	0.01550019	74.51883	0.2464562	0.01288093	-5.226297
