Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
0	669.4771	663.6266	5.85051	0.4639322	0.0580658	-0.01783336	0.005457342	1	0.9730614	1	0.02517479	11.93727	-0.08315212	0.005457342	7513820
1	666.1627	660.7841	5.37866	0.9131005	0.04138933	-0.02341592	0.00613709	0.9999982	0.9622074	1	0.0225393	16.747	-0.3883323	0.00613709	203212.7
2	668.9294	663.2683	5.661144	0.4665545	0.05790239	-0.02177089	0.005748787	1	0.9729854	1	0.02580188	11.97096	-0.2599488	0.005748787	2.600395e+07
3	667.4445	661.6033	5.841228	0.3577842	0.06612065	-0.02051621	0.005131735	1	0.9763431	1	0.02605048	10.48307	0.01001668	0.005131735	-4.610868e+07
4	667.4792	661.614	5.865157	0.5589977	0.05289842	-0.02827672	0.005367112	1	0.9704299	1	0.02382905	13.10336	0.00190142	0.005367112	-665530.8
5	668.7833	663.3876	5.395734	0.467465	0.05784597	-0.02329125	0.005558634	1	0.972959	1	0.0253592	11.98264	-0.3851652	0.005558634	3.880283e+07
6	669.4883	663.9772	5.511047	0.6987545	0.04731353	-0.01722607	0.005723237	0.9999997	0.9669395	1	0.02327172	14.65008	0.2858592	0.005723237	-1121332
7	664.0654	658.4989	5.56645	0.5838653	0.05175965	-0.02999671	0.006309436	0.9999999	0.9697793	1	0.02555677	13.39165	0.2417315	0.006309436	-4164129
8	669.7866	663.9798	5.80672	0.5838653	0.05175965	-0.01708321	0.005233048	0.9999999	0.9697793	1	0.02327491	13.39165	-0.15213	0.005233048	2069540
9	668.581	662.8158	5.765284	0.4133692	0.06151465	-0.01819366	0.005561684	1	0.9745717	1	0.02615817	11.268	-0.1867768	0.005561684	5.840031e+07
10	664.5393	659.1314	5.407897	1.147089	0.03692744	-0.01619746	0.006358177	0.9999925	0.957641	1	0.02166985	18.77052	0.3161788	0.006358177	-44460.67
11	668.9747	663.5911	5.383621	0.5122322	0.05526043	-0.02188987	0.00575861	1	0.9716938	1	0.02522789	12.54328	-0.3889315	0.00575861	1.722228e+07
12	668.6053	663.1151	5.490266	0.4256142	0.0606233	-0.01991872	0.005210847	1	0.9741979	1	0.02513558	11.43368	-0.3433702	0.005210847	8.426951e+07
13	669.8131	663.9563	5.856784	0.6531089	0.04893897	-0.02166364	0.005433761	0.9999998	0.9680375	1	0.02306177	14.1635	0.03793489	0.005433761	-370725.5
14	669.9814	664.1686	5.812787	0.5861154	0.0516602	-0.02167383	0.005496297	0.9999999	0.9697212	1	0.02383022	13.41743	-0.1520223	0.005496297	1935038
15	668.5053	662.9151	5.590236	0.4423488	0.05946552	-0.01906374	0.005075903	1	0.9736955	1	0.02456995	11.65629	-0.2936261	0.005075903	4.940568e+07
16	669.1571	663.303	5.854116	0.7966836	0.0443103	-0.0176797	0.005840536	0.9999993	0.9646987	1	0.02275065	15.64302	-0.08784807	0.005840536	99402.18
17	666.3658	660.5522	5.813644	0.327697	0.0690894	-0.01779866	0.005371204	1	0.9773596	1	0.0272431	10.03261	-0.1271741	0.005371204	4.266422e+08
18	666.9327	661.3894	5.543311	0.6184162	0.05029296	-0.02465624	0.006232816	0.9999999	0.968898	1	0.02503864	13.78219	-0.3115616	0.006232816	2751184
19	668.5876	664.008	4.579655	0.5748051	0.05216598	-0.01764832	0.005751416	0.9999999	0.9700147	1	0.02449605	13.28734	-0.6202018	0.005751416	1.051459e+07
20	667.957	663.0123	4.944685	0.5058504	0.05560792	-0.02294561	0.005058904	1	0.9718707	1	0.02371983	12.4649	0.4717601	0.005058904	-2.593948e+07
21	667.027	663.4179	3.609149	0.8010536	0.04418927	-0.01644874	0.005568615	0.9999993	0.964602	1	0.02218437	15.68587	-0.8150689	0.005568615	1088411
22	667.6724	662.6284	5.044088	0.5696671	0.0524007	-0.01234941	0.005773202	0.9999999	0.970149	1	0.02459756	13.22782	0.4454041	0.005773202	-8610207
23	667.6835	663.2903	4.393265	0.6869894	0.04771695	-0.0173147	0.006012015	0.9999998	0.967219	1	0.02395308	14.52623	0.6056674	0.006012015	-2622093
24	668.5629	663.3466	5.216306	0.5625515	0.05273106	-0.01730351	0.005945146	1	0.9703361	1	0.02503972	13.14495	-0.4451248	0.005945146	8943465
25	669.0453	663.616	5.429251	0.6306386	0.04980321	-0.02035395	0.005147304	0.9999999	0.9685922	1	0.02264298	13.91772	0.3176893	0.005147304	-2771820
26	669.888	664.1263	5.761653	0.6030096	0.05093139	-0.01653199	0.005345427	0.9999999	0.9692879	1	0.02333453	13.60943	0.1429418	0.005345427	-1875418
27	667.9878	662.5746	5.413153	0.7890484	0.04452417	-0.01308112	0.005960137	0.9999993	0.9648683	1	0.0230378	15.56788	0.3222852	0.005960137	-508702.1
28	669.1802	663.9836	5.196591	0.7084019	0.04699026	-0.0182921	0.005422109	0.9999997	0.966712	1	0.02257371	14.75087	-0.4576956	0.005422109	1466072
29	670.2105	664.3424	5.868044	0.5910278	0.05144506	-0.01932295	0.005595499	0.9999999	0.9695945	1	0.0239942	13.47354	-0.03577317	0.005595499	227976.2
30	668.1993	662.668	5.531338	0.4033921	0.06227073	-0.01792197	0.005367368	1	0.9748805	1	0.02585459	11.13119	-0.3258747	0.005367368	1.358455e+08
31	668.7078	662.8536	5.85414	0.716456	0.04672539	-0.02237186	0.005977561	0.9999997	0.9665233	1	0.02363488	14.83449	-0.06614186	0.005977561	134183.2
32	667.5619	662.6857	4.876205	0.4616163	0.05821127	-0.01888952	0.005924118	1	0.9731287	1	0.02626216	11.90744	-0.5437594	0.005924118	6.325136e+07
33	667.6733	662.086	5.58731	0.3626701	0.06567375	-0.02136012	0.005410437	1	0.9761821	1	0.02665797	10.5544	-0.2981424	0.005410437	3.623377e+08
34	667.3645	661.9356	5.42889	0.5046399	0.05567457	-0.01445846	0.00495841	1	0.9719044	1	0.02349712	12.44998	-0.3638916	0.00495841	1.871679e+07
35	669.9549	664.1156	5.839251	0.6796055	0.04797547	-0.01704278	0.005439818	0.9999998	0.9673956	1	0.02284635	14.44795	-0.1213411	0.005439818	476802.3
36	666.3493	664.1826	2.166692	0.5302072	0.05431564	-0.01827667	0.00555636	1	0.9712015	1	0.02456816	12.76147	0.9795386	0.00555636	-3.461523e+07
37	669.2975	663.6561	5.641335	0.6090829	0.05067683	-0.01689177	0.005888331	0.9999999	0.9691336	1	0.02442957	13.67779	-0.2711804	0.005888331	2756749
38	668.8965	663.2161	5.680373	0.8030607	0.04413402	-0.01749236	0.005866323	0.9999993	0.9645577	1	0.02275541	15.70551	-0.2530003	0.005866323	315346.4
39	668.3122	663.1368	5.17544	0.6131862	0.05050699	-0.02456235	0.005305593	0.9999999	0.9690298	1	0.02315036	13.72379	0.4088376	0.005305593	-4450217
40	668.0627	662.2305	5.832172	0.8106676	0.04392646	-0.01838302	0.005151655	0.9999992	0.9643902	1	0.02127411	15.77972	-0.1272368	0.005151655	136399.4
41	666.7761	661.2507	5.525413	0.6380614	0.04951268	-0.0227392	0.00483203	0.9999999	0.9684079	1	0.02187449	13.99939	0.2665987	0.00483203	-2162048
42	668.2034	662.3701	5.833337	0.7877573	0.04456064	-0.02354859	0.005411309	0.9999993	0.964897	1	0.02196048	15.55514	-0.1363808	0.005411309	173156.9
43	668.5202	663.0169	5.503292	0.5940226	0.05131522	-0.01744086	0.004983791	0.9999999	0.9695176	1	0.02261611	13.50763	-0.3356392	0.004983791	4230487
44	668.7907	663.0194	5.771299	0.4794761	0.05711684	-0.02503858	0.005514169	1	0.9726138	1	0.02509789	12.1356	0.1328258	0.005514169	-1.340823e+07
45	669.7041	663.8513	5.852737	0.5056987	0.05561626	-0.02215331	0.005312893	1	0.9718749	1	0.0243098	12.46303	0.02818496	0.005312893	-2646492
46	670.1156	664.2516	5.864013	0.5938917	0.05132087	-0.02073714	0.005589496	0.9999999	0.969521	1	0.02395236	13.50615	0.009731889	0.005589496	-405822.5
47	667.2726	661.4641	5.808571	0.6510231	0.04901731	-0.01895159	0.006401865	0.9999998	0.9680886	1	0.02505203	14.14087	0.03597097	0.006401865	-350301.8
48	667.9722	662.5439	5.428284	0.4960462	0.05615476	-0.02331001	0.005964137	1	0.9721446	1	0.02588106	12.34352	0.3132319	0.005964137	-2.101686e+07
49	668.2773	662.9213	5.355957	0.4141893	0.06145373	-0.02234709	0.00526464	1	0.9745465	1	0.02543744	11.27917	0.3432785	0.00526464	-1.242166e+08
50	669.1284	664.0978	5.030568	0.6408814	0.04940363	-0.01695397	0.00571331	0.9999999	0.9683381	1	0.02375955	14.03029	0.4514836	0.00571331	-3380436
51	666.1934	660.3893	5.804088	0.3542257	0.06645193	-0.02267297	0.004882056	1	0.976461	1	0.02547242	10.43081	0.05446984	0.004882056	-1.295092e+08
52	668.2637	662.4605	5.803137	0.5705528	0.05236001	-0.0220964	0.006125904	0.9999999	0.9701258	1	0.02532795	13.2381	-0.1333309	0.006125904	2065250
53	668.777	662.9684	5.808607	0.7643321	0.04523834	-0.01698644	0.005205808	0.9999995	0.9654229	1	0.02170263	15.32212	-0.1559874	0.005205808	264913.2
54	666.2799	660.9226	5.357304	0.7195525	0.04662474	-0.01586455	0.004826255	0.9999997	0.9664511	1	0.02121428	14.86651	-0.3909369	0.004826255	1113435
55	668.0794	662.3176	5.76177	0.8549652	0.04277337	-0.01744215	0.006090327	0.9999988	0.9634303	1	0.02282559	16.20511	0.1324748	0.006090327	-129940.4
56	668.2824	662.475	5.807371	0.4618811	0.05819458	-0.01816502	0.005959943	1	0.973121	1	0.02633767	11.91085	0.07818781	0.005959943	-1.154956e+07
57	668.1756	662.3258	5.849762	0.7117866	0.0468784	-0.02447454	0.005959943	0.9999997	0.9666326	1	0.02363864	14.78607	-0.08241459	0.005959943	186527
58	667.9643	662.1222	5.842094	0.8941428	0.0418258	-0.0184021	0.006047767	0.9999984	0.9626018	1	0.02249234	16.57224	-0.09527604	0.006047767	49218.49
59	669.8059	663.9612	5.844783	0.4844353	0.05682373	-0.01915547	0.005484705	1	0.9724726	1	0.02496643	12.1982	-0.09925603	0.005484705	6194875
