Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
40	356.1443	353.9087	2.235555	21.60235	0.008380972	0.006671957	0.02070378	0.9313667	0.8142408	1	0.01862889	82.70487	0.02060625	0.09721166
41	356.4009	353.8652	2.535707	16.6941	0.009605073	0.01030755	0.0194718	0.953591	0.8374982	1	0.01934053	72.1647	0.01942986	0.2221021
42	358.994	356.0137	2.980224	15.21426	0.01007943	-0.03576597	0.01794005	0.9601204	0.8450584	1	0.01901713	68.76846	0.01791152	-0.8968496
43	358.9319	355.7201	3.21184	15.21426	0.01007943	-0.02956963	0.01707833	0.9601204	0.8450584	1	0.01855478	68.76846	0.01705117	-0.7414732
44	359.6317	355.9277	3.703984	9.906096	0.01254736	-0.04300092	0.01522451	0.9818804	0.8753764	1	0.01954622	55.24248	0.01521952	-2.373175
45	359.3884	355.5856	3.802861	9.48268	0.01282723	-0.0519737	0.01483636	0.983431	0.8780889	1	0.01950946	54.03716	0.01483229	-3.136812
46	359.6262	356.0079	3.618232	10.11499	0.01241568	-0.03729434	0.01554818	0.9811015	0.8740583	1	0.01964898	55.82835	0.01554262	-1.973403
47	358.7161	355.3748	3.341287	11.20262	0.01178956	-0.06860609	0.01646105	0.9769141	0.8673931	1	0.01970119	58.79329	0.01645227	-2.971774
48	356.7793	352.8176	3.961748	9.749679	0.01264866	-0.005338346	0.01422806	0.9824578	0.8763719	1	0.01897187	54.80005	0.01422368	-0.3043138
49	357.4999	354.9897	2.510175	16.98839	0.009517865	-0.06437226	0.01963731	0.9522791	0.8360295	1	0.01933418	72.82591	0.01959259	-1.348932
50	356.9795	353.4703	3.509149	16.22384	0.009749081	-0.01465463	0.01596134	0.9556789	0.8398682	1	0.01764134	71.09872	0.01592999	-0.3306465
51	359.0238	355.8281	3.195658	14.91457	0.01018362	-0.02907951	0.01713602	0.9614266	0.8466278	1	0.0186819	68.06492	0.01711052	-0.7538756
52	359.5299	356.2461	3.283838	12.60757	0.01110125	-0.03934483	0.01679078	0.9712327	0.8592126	1	0.01930796	62.43865	0.01677688	-1.367691
53	358.3218	354.853	3.468764	10.76625	0.01202959	-0.07451272	0.01594928	0.9786191	0.8700292	1	0.01958894	57.62016	0.01594198	-3.485021
54	358.9827	355.7011	3.281659	14.88493	0.01019408	-0.03139514	0.01681771	0.9615555	0.8467838	1	0.01851708	67.99504	0.01679285	-0.8166345
55	353.5583	349.7411	3.817162	10.86333	0.01197497	0.02007748	0.01459312	0.9782426	0.8694385	1	0.01869504	57.88298	0.01458621	0.9227872
56	357.0172	353.1163	3.900903	13.58537	0.01068483	-0.03963969	0.01452526	0.9671369	0.8537626	1	0.01761817	64.87207	0.01450958	-1.206208
57	358.882	355.0367	3.845329	8.015853	0.01396001	-0.05534361	0.014662	0.9884644	0.8879655	1	0.02023273	49.65233	0.01466005	-4.797638
58	359.5094	356.0881	3.421324	11.83512	0.01146494	-0.03067953	0.01628324	0.9743899	0.8636552	1	0.01932286	60.45798	0.01627256	-1.197946
59	357.6049	354.5398	3.065115	9.577556	0.01276294	-0.03529766	0.01759052	0.983087	0.8774762	1	0.02118994	54.30938	0.01758549	-2.087013
60	359.2501	355.9277	3.322383	10.84939	0.01198278	-0.0303388	0.01664339	0.9782968	0.8695232	1	0.01997168	57.84529	0.01663555	-1.397893
61	359.1021	355.5845	3.517624	13.47766	0.01072855	-0.03598719	0.01593632	0.967593	0.8543541	1	0.01849181	64.60775	0.01591958	-1.110474
62	357.9915	355.1096	2.881878	14.51687	0.01032662	-0.007665491	0.01825276	0.9631501	0.848732	1	0.01941593	67.1224	0.01822797	-0.2080193
63	358.094	354.839	3.255086	16.56899	0.009642815	-0.02078902	0.01691796	0.9541475	0.8381259	1	0.01806304	71.88224	0.01688239	-0.4533891
64	359.515	355.7641	3.750871	9.147749	0.01306202	-0.04495882	0.01504522	0.984629	0.8802757	1	0.01982528	53.06586	0.01504167	-2.924915
65	358.4182	355.2834	3.134767	14.16728	0.01045706	-0.07023649	0.01723208	0.964655	0.8506027	1	0.01898404	66.2851	0.01721056	-1.98717
66	357.9272	354.1683	3.758844	8.284643	0.0137304	-0.07097243	0.0148976	0.9875859	0.8860944	1	0.02022622	50.48265	0.0148953	-5.717088
67	358.5628	354.7725	3.790268	8.841084	0.01328841	-0.06618058	0.01481449	0.9857021	0.8823116	1	0.01984243	52.16179	0.01481146	-4.628678
68	359.1907	355.624	3.566734	10.43024	0.01222437	-0.02342919	0.01573493	0.9799098	0.8720933	1	0.01961376	56.70206	0.01572858	-1.166197
69	357.725	354.4813	3.243779	12.35083	0.01121845	-0.08191216	0.0167288	0.9722904	0.860675	1	0.01937375	61.78636	0.01671595	-2.956095
70	359.1839	355.5921	3.591793	12.62971	0.01109131	-0.04918418	0.01563491	0.9711411	0.8590871	1	0.01862319	62.49462	0.01562189	-1.704299
71	356.9409	352.7116	4.229291	6.117458	0.01598724	-0.03117783	0.01328927	0.9939658	0.9021623	1	0.02061352	43.35628	0.01328878	-5.166897
72	357.7404	355.0925	2.647892	20.08624	0.008713559	-0.02947061	0.01923843	0.9382887	0.821169	1	0.01831039	79.54811	0.01916516	-0.4775565
73	359.4831	355.9175	3.565605	11.17834	0.01180255	-0.02965149	0.01574841	0.9770098	0.8675385	1	0.01928064	58.72857	0.01574009	-1.289743
74	357.7185	354.8899	2.828635	12.61453	0.01109813	-0.06745214	0.0183823	0.9712039	0.8591732	1	0.02019946	62.45624	0.01836705	-2.342406
75	357.3532	354.8717	2.481497	20.03591	0.008725202	-0.01294608	0.01983975	0.938518	0.8214026	1	0.01860676	79.44196	0.01976476	-0.2105669
76	356.4444	354.425	2.019449	20.69615	0.008575665	-0.03654174	0.0216637	0.9355078	0.8183575	1	0.01927593	80.82722	0.0215736	-0.5666071
77	356.37	354.3094	2.060617	24.28362	0.007865848	-0.03437879	0.02155882	0.9190819	0.802441	1	0.01841621	88.1211	0.02141766	-0.4248592
78	357.6078	354.9534	2.654367	18.22314	0.009174136	-0.007717764	0.01914212	0.946737	0.8299814	1	0.018741	75.55449	0.01908782	-0.144899
79	354.0261	349.7428	4.283331	12.17021	0.01130305	-0.0255936	0.01311281	0.9730297	0.8617122	1	0.01721712	61.32393	0.01310327	-0.9489544
80	358.0035	354.9686	3.03493	11.48908	0.0116393	-0.06917545	0.01759423	0.9757782	0.8656884	1	0.02023782	59.55229	0.01758391	-2.85592
81	355.4928	351.0707	4.422119	5.158684	0.01741164	-0.04699469	0.01255122	0.9961728	0.9101642	1	0.02090633	39.80942	0.01255104	-12.27922
82	358.2765	354.1693	4.107224	7.586372	0.01435164	-0.05639764	0.01369482	0.9898217	0.8910195	1	0.01982641	48.29741	0.0136934	-5.540994
83	358.7919	354.7667	4.025243	9.52755	0.01279671	-0.04927811	0.01402933	0.9832686	0.8777988	1	0.01894884	54.16606	0.0140254	-2.945244
84	359.0711	355.4204	3.650778	12.52258	0.01113966	-0.03263482	0.01544262	0.9715837	0.8596952	1	0.01854862	62.22335	0.01543015	-1.148455
85	356.9898	353.7109	3.278908	12.99354	0.01093145	0.008110071	0.0166778	0.9696281	0.8570393	1	0.01909516	63.40851	0.01666241	0.2670258
86	357.3815	353.9952	3.386241	10.5822	0.01213516	-0.001573946	0.01632735	0.9793286	0.871156	1	0.01990653	57.1189	0.01632037	-0.07614128
87	357.6549	354.8806	2.774314	14.83583	0.01021149	-0.07456122	0.01855309	0.9617688	0.8470424	1	0.01946559	67.87915	0.01852597	-1.950269
88	358.8201	355.4305	3.389547	9.066774	0.0131207	-0.04421557	0.01637477	0.9849146	0.8808101	1	0.02072913	52.82854	0.01637104	-2.931024
89	358.9664	355.7743	3.19209	12.31688	0.01123421	-0.02104988	0.01712327	0.9724297	0.8608694	1	0.0196146	61.69969	0.01711025	-0.7634973
90	356.5562	352.8344	3.721799	12.31688	0.01123421	0.002464012	0.01507961	0.9724297	0.8608694	1	0.01840693	61.69969	0.01506815	0.08937183
91	358.1871	354.8254	3.361701	10.14495	0.01239713	-0.07257753	0.01635449	0.9809891	0.8738703	1	0.02013696	55.91192	0.01634858	-3.817675
92	359.3374	355.6782	3.659129	10.33957	0.01227852	-0.05758936	0.01534574	0.9802545	0.8726556	1	0.01941252	56.45202	0.01533976	-2.916577
93	359.2976	355.8362	3.461483	11.8929	0.01143655	-0.05843365	0.01607614	0.9741564	0.8633184	1	0.0191758	60.60807	0.01606541	-2.261049
94	359.6387	356.1317	3.507021	11.77535	0.01149452	-0.04115334	0.01596027	0.9746309	0.8640044	1	0.01915493	60.30239	0.01595	-1.622185
95	358.3233	354.5025	3.820804	7.243781	0.01468847	-0.03349233	0.01479455	0.9908607	0.8935164	1	0.0208475	47.18989	0.01479331	-3.664637
96	356.2152	351.8739	4.341314	6.754078	0.01521337	-0.0222758	0.0128707	0.9922724	0.897188	1	0.01978922	45.56171	0.01286993	-2.882619
97	358.6341	355.7048	2.929293	12.90904	0.010968	-0.02867243	0.01811499	0.9699808	0.8575126	1	0.01993415	63.19725	0.01809866	-0.9551378
98	359.4875	356.1765	3.310982	12.65199	0.01108133	-0.03354649	0.01669503	0.9710489	0.858961	1	0.01923555	62.55089	0.01668104	-1.15873
99	359.4305	356.0454	3.385105	12.6212	0.01109513	-0.05176732	0.0163879	0.9711763	0.8591353	1	0.01906965	62.47311	0.01637428	-1.795999
100	356.7402	353.067	3.673178	8.620965	0.0134582	-0.004148106	0.0152762	0.9864574	0.8837939	1	0.02027758	51.50371	0.01527339	-0.3062998
101	358.98	355.8039	3.176119	14.21498	0.01043899	-0.02186918	0.01719562	0.9644502	0.8503462	1	0.01894755	66.39986	0.01717389	-0.6151707
102	354.9201	350.5172	4.402888	6.976125	0.01496857	-0.07191362	0.01251474	0.9916434	0.8955076	1	0.01935601	46.30685	0.01251386	-8.605592
103	359.289	355.9681	3.320905	13.87988	0.01056783	-0.03456161	0.01666532	0.9658846	0.852156	1	0.01876786	65.59032	0.01664592	-1.013079
104	358.3414	354.6452	3.696179	11.75192	0.01150618	-0.01391706	0.01524409	0.9747253	0.8641415	1	0.01872972	60.2413	0.01523435	-0.5506309
105	357.4536	353.4214	4.032227	6.790535	0.01517236	-0.0633786	0.01393361	0.9921704	0.8969102	1	0.02056238	45.68486	0.01393275	-8.094754
106	357.9229	354.0309	3.891988	6.790535	0.01517236	-0.05596642	0.01448292	0.9921704	0.8969102	1	0.02096379	45.68486	0.01448204	-7.148067
107	358.5334	355.4508	3.082582	16.88691	0.009547691	-0.03164706	0.01757265	0.9527319	0.8365347	1	0.0183182	72.59841	0.01753339	-0.6695221
108	359.1865	355.9791	3.20746	13.84652	0.0105809	-0.02688421	0.01708351	0.9660268	0.8523372	1	0.01901362	65.50929	0.01706379	-0.7913364
109	357.8717	353.7348	4.136934	6.477392	0.01553575	-0.04765888	0.01361028	0.993029	0.8993203	1	0.02056433	44.61627	0.01360962	-6.836769
110	358.2293	354.3088	3.920547	6.802284	0.01515922	-0.04765888	0.01440619	0.9921374	0.8968209	1	0.02089912	45.72448	0.0144053	-6.061495
111	358.1914	355.1101	3.081338	17.26417	0.009438074	-0.05400543	0.01753883	0.9510463	0.834663	1	0.01819521	73.44159	0.0174968	-1.103194
112	359.0379	355.9697	3.068204	15.03736	0.01014057	-0.03094411	0.01761152	0.9608922	0.8459832	1	0.01889925	68.35386	0.01758458	-0.7912515
113	357.3373	354.508	2.829314	20.6043	0.008596065	-0.02543533	0.01855537	0.935927	0.8187788	1	0.01786075	80.63541	0.01847919	-0.3969741
114	356.9875	354.6408	2.34665	21.70021	0.008360631	-0.01493271	0.02038452	0.930919	0.8138004	1	0.01846225	82.90609	0.02028724	-0.2161623
115	356.2911	354.0461	2.244968	25.11699	0.007721553	-0.02767354	0.02085407	0.9152623	0.7988773	1	0.0179458	89.76785	0.02070433	-0.3265787
116	355.6726	353.621	2.051565	16.89405	0.009545585	-0.02321806	0.0214879	0.9527	0.8364991	1	0.02025411	72.61443	0.02143982	-0.4908685
117	357.872	355.1586	2.713416	17.09581	0.009486567	-0.01013589	0.01891761	0.9517993	0.8354961	1	0.01894535	73.06618	0.01887366	-0.2102848
118	354.8033	352.8669	1.936395	28.82161	0.007151662	-0.06383127	0.02204115	0.8983306	0.7835409	1	0.01775561	96.92114	0.02181332	-0.6278314
119	355.108	352.5887	2.519362	20.56672	0.008604448	0.02834251	0.01941226	0.9360984	0.8189513	1	0.0182774	80.55685	0.01933299	0.4435339
120	356.0996	353.7634	2.336178	17.88874	0.009263888	0.009189198	0.02025341	0.9482433	0.8316019	1	0.01937139	74.82249	0.02019915	0.1775461
121	356.0545	353.6175	2.437	25.27883	0.007694295	-0.03769196	0.02011448	0.9145207	0.7981905	1	0.01759356	90.08587	0.01996751	-0.4409484
122	358.864	355.0891	3.774948	12.13549	0.01131952	-0.04159815	0.01497697	0.9731713	0.8619124	1	0.01841369	61.2347	0.01496619	-1.550509
123	358.0604	355.2323	2.828093	18.96379	0.008983405	-0.03596126	0.01854418	0.9433886	0.8264357	1	0.01825321	77.15863	0.01848475	-0.6352301
124	359.4227	355.7749	3.647818	9.462181	0.01284125	-0.03327319	0.01543887	0.9835051	0.8782217	1	0.01991253	53.97818	0.01543467	-2.017182
125	355.8713	352.1696	3.701759	14.58337	0.01030231	-0.07678433	0.01509669	0.9628627	0.8483784	1	0.01763694	67.28073	0.01507587	-2.067581
126	356.2402	353.1932	3.047003	8.606904	0.01346926	-0.06114461	0.01758127	0.9865052	0.8838892	1	0.02176266	51.46141	0.01757807	-4.530968
127	358.5058	355.7766	2.729195	16.33153	0.00971558	-0.03972334	0.0188879	0.9552017	0.8393228	1	0.01915761	71.34388	0.01885	-0.8867152
128	355.8751	351.9399	3.93513	6.543288	0.01545713	-0.07516469	0.01421408	0.9928516	0.8988084	1	0.02096229	44.8432	0.01421335	-10.51495
129	359.5205	355.7477	3.772787	9.284104	0.01296493	-0.04008849	0.01497411	0.9841445	0.8793809	1	0.01970473	53.46326	0.01497034	-2.528363
130	357.8235	354.8033	3.020249	17.32597	0.009420442	-0.009017295	0.01776329	0.9507696	0.8343581	1	0.01829415	73.57905	0.01772024	-0.1831652
131	359.2827	356.0575	3.225251	14.2287	0.01043381	-0.03905934	0.01701804	0.9643913	0.8502725	1	0.01884478	66.43281	0.01699646	-1.096906
132	358.5471	355.4823	3.064855	15.87517	0.009859763	-0.05928196	0.01756629	0.9572195	0.8416444	1	0.01861179	70.30059	0.01753414	-1.385724
133	358.6165	355.6674	2.949167	12.27658	0.011253	-0.03392473	0.01803753	0.9725948	0.8611005	1	0.02014827	61.59664	0.01802399	-1.237893
134	358.9856	355.8626	3.123046	11.50908	0.01162902	-0.03403774	0.01738521	0.9756984	0.8655701	1	0.02010835	59.60498	0.01737494	-1.40064
135	355.9869	353.3716	2.615254	21.23273	0.008458978	-0.08292873	0.01914898	0.9330569	0.8159114	1	0.01799893	81.94219	0.01906317	-1.238794
136	355.2683	353.1492	2.11918	27.29982	0.007372918	-0.002656817	0.02130683	0.9052727	0.7897474	1	0.01772532	94.0126	0.02111564	-0.028047
137	357.4676	355.0867	2.380923	18.33633	0.009144285	-0.02399146	0.02023178	0.9462263	0.8294358	1	0.01923565	75.80113	0.02017327	-0.4461558
138	357.8709	354.747	3.123864	9.698169	0.01268254	-0.05806035	0.01731523	0.9826467	0.8767014	1	0.02095715	54.65364	0.01731001	-3.34579
139	359.0076	355.3151	3.692471	11.03456	0.01188036	-0.06136654	0.0152089	0.9775745	0.8684026	1	0.01900985	58.34396	0.01520125	-2.736462
140	357.0366	354.6852	2.351382	20.99418	0.008510338	-0.01230616	0.02034822	0.9341469	0.8169958	1	0.01861022	81.44767	0.02025997	-0.186873
141	355.9021	353.6385	2.263644	17.31619	0.009423224	-0.08277526	0.02044794	0.9508134	0.8344063	1	0.01963087	73.55732	0.02039847	-1.682881
142	357.1767	354.8028	2.373853	21.68545	0.008363691	-0.02451105	0.0203007	0.9309865	0.8138668	1	0.01842763	82.87575	0.02020401	-0.3551632
143	358.0894	354.1805	3.908904	9.958599	0.01251388	-0.06853833	0.01437	0.9816855	0.8750439	1	0.01896441	55.39027	0.01436518	-3.742297
144	359.4573	356.1316	3.325675	12.77318	0.01102748	-0.04969109	0.01661486	0.9705462	0.8582764	1	0.01914263	62.85635	0.01660045	-1.687088
145	358.0108	355.25	2.760795	15.8673	0.009862299	-0.01121706	0.01873216	0.9572542	0.8416847	1	0.01922197	70.28251	0.01869793	-0.2624131
