Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
37	597.2445	593.4036	3.840942	19.5118	0.008848928	-0.002854138	0.01498068	0.9409021	0.823849	1	0.01628269	78.3312	0.09001328	0.01492836	-1.481403
38	597.8889	594.0054	3.883524	16.5188	0.009658071	-0.03657274	0.01347228	0.9543706	0.8383783	1	0.01613173	71.7687	0.3104524	0.01344423	-7.294838
39	596.8329	594.0369	2.795969	22.13835	0.008271105	-0.02634811	0.0152307	0.9289135	0.8118381	1	0.01587291	83.80346	-0.5632144	0.01515373	6.989086
40	592.9437	589.9437	2.999947	26.79928	0.007449404	0.03189672	0.01817927	0.9075606	0.7918163	1	0.0164575	93.04734	-0.0250029	0.01802393	0.5905313
41	597.9987	594.1257	3.872999	22.0909	0.008280681	-0.02413014	0.01479409	0.9291308	0.8120499	1	0.0156528	83.70654	-0.1824026	0.01471978	2.050902
42	596.2616	592.0306	4.230923	24.44495	0.007837385	-0.03352218	0.01379274	0.9183424	0.8017475	1	0.01470368	88.44113	0.001459506	0.01370077	-0.426935
43	597.3229	593.6028	3.720136	19.56955	0.008835067	-0.01909906	0.01518795	0.9406397	0.8235781	1	0.0163821	78.4541	0.1598172	0.01513443	-2.854253
44	597.1162	593.3824	3.733774	20.04792	0.008722419	-0.02765619	0.01551169	0.9384633	0.8213468	1	0.01644989	79.46731	-0.1179727	0.01545295	1.349712
45	596.2652	592.5143	3.750959	21.53508	0.008395029	-0.06790873	0.01426371	0.9316744	0.814544	1	0.01547542	82.56639	0.2654411	0.01419712	-4.613401
46	595.9438	593.0846	2.859213	29.47258	0.007061815	-0.01543803	0.01723927	0.8953683	0.7809223	1	0.01560388	98.15425	0.3339012	0.01705053	-3.004852
47	598.0883	594.1418	3.946452	21.45786	0.008411243	-0.02452726	0.01446974	0.9320276	0.8148925	1	0.01560182	82.40723	0.1379091	0.01440288	-2.25183
48	597.3174	593.0783	4.239062	21.51258	0.008399744	-0.02203633	0.01346263	0.9317773	0.8146455	1	0.01503879	82.52004	-0.1705256	0.01339997	2.006013
49	597.5042	593.2822	4.222035	16.36798	0.009704311	-0.02702409	0.01237302	0.95504	0.8391386	1	0.01549656	71.42673	-0.3457396	0.01234801	6.743133
50	595.8733	591.8044	4.068876	17.63067	0.009334799	-0.07424196	0.01414085	0.9494033	0.8328613	1	0.0162482	74.25411	-0.06693726	0.01410465	-0.2113082
51	597.832	593.6542	4.177766	17.75069	0.009301638	-0.033398	0.0129147	0.9488641	0.8322746	1	0.01550019	74.51883	0.2464562	0.01288093	-5.226297
52	596.6984	593.8876	2.810761	23.68189	0.007974359	-0.01250215	0.01537098	0.9218405	0.8050432	1	0.01565718	86.92199	0.4952574	0.01527708	-6.001197
53	593.4556	590.3685	3.087079	35.82861	0.006305408	-0.07055413	0.01692103	0.8667494	0.7563302	1	0.01460781	109.929	-0.3249615	0.01662059	1.584278
54	597.0315	592.9699	4.061602	15.00403	0.01015221	-0.01601849	0.01209436	0.9610374	0.8461579	1	0.01567064	68.27553	-0.4322715	0.012076	10.25112
55	596.2876	592.0913	4.196246	13.58067	0.01068673	0.001132069	0.01301159	0.9671569	0.8537884	1	0.01667641	64.86056	-0.2642033	0.01299755	7.814663
56	597.3422	593.3062	4.035964	14.26282	0.01042095	-0.0432185	0.01301419	0.9642447	0.8500894	1	0.01646938	66.51477	0.2946449	0.01299755	-9.15468
57	597.1695	593.8065	3.363015	14.88846	0.01019284	-0.02958592	0.01309086	0.9615401	0.8467652	1	0.01633603	68.00337	-0.5602937	0.01307149	13.2387
