Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
0	598.2968	594.1778	4.118941	17.91972	0.009255473	-0.02955034	0.01399389	0.9481039	0.8314513	1	0.01609472	74.89052	0.08503562	0.0139562	-2.122953
1	597.4127	593.9969	3.415861	16.23562	0.0097454	-0.03520468	0.01339635	0.9556267	0.8398084	1	0.01615876	71.12558	-0.5248703	0.01336997	10.51026
2	598.2442	593.8524	4.391827	17.82433	0.00928145	-0.03520468	0.01312946	0.948533	0.8319155	1	0.01561156	74.68091	-0.004705827	0.01309468	-0.5972968
3	592.4107	587.7607	4.65002	15.25892	0.01006416	0.02902649	0.0116781	0.9599253	0.8448258	1	0.01533168	68.87281	0.08968212	0.01165934	-1.423881
4	595.9488	592.0295	3.919322	23.91094	0.007932608	-0.04195681	0.01372635	0.9207904	0.8040497	1	0.01475709	87.37948	0.2719788	0.01364023	-3.691375
5	597.5097	593.2416	4.268068	19.27441	0.008906519	-0.05260432	0.0134612	0.9419801	0.8249658	1	0.01548499	77.8247	-0.1133371	0.01341589	0.9334193
6	597.6167	593.5035	4.11324	15.58122	0.009955814	-0.0118329	0.01364194	0.958513	0.8431551	1	0.0164813	69.62235	0.1659392	0.01361846	-4.119071
7	597.4494	593.9487	3.500712	23.76776	0.007958642	-0.01752789	0.01521469	0.9214468	0.8046703	1	0.01556202	87.09365	0.2829146	0.0151208	-3.541788
8	597.4089	593.6264	3.78255	22.6109	0.008177274	-0.02052628	0.01415003	0.9267491	0.8097388	1	0.01521241	84.76507	0.2829146	0.0140741	-3.859574
9	596.2771	592.4989	3.778223	19.11554	0.008945623	0.005217689	0.01531014	0.9427008	0.8257164	1	0.01655045	77.48451	0.03317295	0.01525987	-0.4547091
10	597.8476	593.8571	3.990509	16.72357	0.009596242	-0.0376433	0.01391013	0.9534598	0.8373506	1	0.01633921	72.23111	0.2022392	0.01388	-4.952065
11	597.7633	593.5804	4.182878	14.88117	0.01019541	-0.03984228	0.01269683	0.9615718	0.8468036	1	0.01609034	67.98618	-0.3224824	0.01267808	7.032536
12	597.9612	593.7525	4.208783	20.61372	0.008593967	-0.03984228	0.01383709	0.935884	0.8187355	1	0.01542177	80.65509	-0.01696121	0.01378021	-0.373831
13	596.0722	593.3439	2.728328	20.40381	0.008641037	-0.02224583	0.01331923	0.9368415	0.8197009	1	0.01517182	80.21574	0.6393175	0.0132661	-9.83533
14	596.8984	592.9053	3.993135	25.08487	0.007726992	-0.02554027	0.0143801	0.9154094	0.7990139	1	0.01490737	89.70466	-0.1818396	0.0142772	1.665876
15	597.0529	593.4479	3.60504	26.76381	0.007454899	-0.005806583	0.01614827	0.9077228	0.7919634	1	0.01551668	92.97875	-0.02183636	0.01601076	0.1518769
16	596.6706	593.4139	3.256699	26.77399	0.007453321	-0.00396283	0.01596995	0.9076762	0.7919212	1	0.01542914	92.99844	-0.3557412	0.01583383	3.454528
