Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
0	428.1932	425.5414	2.651813	40.58864	0.00584749	-0.00191121	0.0195475	0.8457453	0.7388638	1	0.01511978	118.5375	0.01908238	-0.01238996
1	427.7788	425.2065	2.572284	55.09489	0.00479738	0.00836798	0.02026727	0.7842171	0.6891266	1	0.01394488	144.4845	0.01932358	0.03877962
2	429.5546	426.0919	3.462754	34.33639	0.006465908	-0.01320635	0.01637065	0.8734132	0.7619599	1	0.01454999	107.2003	0.01610832	-0.1043265
3	428.0163	425.2443	2.771976	45.82939	0.005418693	-0.06996746	0.0191854	0.8230849	0.7203656	1	0.01441942	127.9178	0.01858491	-0.395486
4	428.617	424.8308	3.786182	35.29789	0.006361453	-0.01831626	0.01519532	0.8691153	0.7583233	1	0.01390427	108.9605	0.01493501	-0.139942
5	428.1013	424.374	3.727254	20.32974	0.00865781	-0.0292516	0.01521807	0.9371792	0.8200425	1	0.016233	80.06034	0.01515801	-0.4656353
6	429.5551	425.7951	3.759972	28.61207	0.007181171	-0.00761201	0.01514709	0.8992851	0.7843883	1	0.0147495	96.52286	0.01499345	-0.07557975
7	429.4205	425.449	3.971519	21.60246	0.008380949	-0.03082508	0.0143314	0.9313662	0.8142403	1	0.01549908	82.7051	0.01426389	-0.4491239
8	429.3684	425.6658	3.702546	27.20629	0.007387063	-0.002498648	0.01531607	0.9057	0.7901329	1	0.01504266	93.83258	0.01517988	-0.02649681
9	428.3094	424.4925	3.816902	31.55695	0.006791313	0.01345557	0.01485438	0.8859186	0.7726723	1	0.01420428	102.0638	0.01466106	0.1179471
10	428.623	425.24	3.383002	42.1161	0.005715342	-0.02154751	0.01686241	0.8390898	0.7334	1	0.01388341	121.2783	0.01642581	-0.1339102
11	424.2043	420.6919	3.512423	18.4206	0.009122229	0.01026429	0.01584006	0.9458458	0.8290304	1	0.0169998	75.98441	0.01579361	0.1895383
12	428.639	424.7857	3.853335	32.3014	0.006700482	-0.0004725494	0.01482341	0.8825578	0.7697723	1	0.01409425	103.4474	0.01461896	-0.004023677
13	427.5701	424.5343	3.035841	29.74694	0.007024751	-0.05550985	0.01786948	0.8941213	0.7798248	1	0.01584479	98.67213	0.01766916	-0.524278
14	426.9728	423.6539	3.318945	25.03961	0.007734671	-0.07240141	0.0166432	0.9156168	0.7992063	1	0.01604554	89.61559	0.0165247	-0.8580079
15	428.9739	425.8097	3.164256	32.06592	0.006728906	-0.03636619	0.01747558	0.88362	0.7706871	1	0.01533568	103.0104	0.01723889	-0.3124781
16	427.8423	424.9789	2.863441	35.93262	0.006294555	-0.06720952	0.0185885	0.8662863	0.7559408	1	0.01529747	110.1185	0.01825615	-0.5026374
17	428.2545	425.5638	2.690679	39.30759	0.005963468	-0.03180152	0.01944413	0.8513592	0.7434964	1	0.01522855	116.2322	0.01901453	-0.2139487
18	426.2426	424.032	2.210574	68.36221	0.004108459	-0.0588765	0.02240883	0.7310605	0.6468082	1	0.01356951	168.7122	0.02078803	-0.218921
