Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
39	1	359.2499	355.6257	3.624268	9.37957	0.01289819	-0.05685733	0.01547264	0.9838026	0.8787582	1	0.01997844	53.73987	0.01546858	-3.510283
40	0	358.1581	355.2916	2.866556	18.06562	0.009216121	-0.05258883	0.01835497	0.947447	0.8307432	1	0.01839356	75.2103	0.01830428	-1.000682
41	1	359.1886	355.9114	3.277225	14.33473	0.010394	-0.0334036	0.01683027	0.9639354	0.8497041	1	0.01870475	66.68721	0.01680838	-0.9262154
42	0	357.686	355.2391	2.446903	18.93813	0.008989835	-0.04654871	0.01997275	0.9435048	0.8265576	1	0.01895002	77.10344	0.019909	-0.8239417
43	1	356.3954	353.6472	2.748285	14.78818	0.01022846	0.01199001	0.01863951	0.9619756	0.8472938	1	0.01952709	67.76651	0.01861256	0.3153242
44	0	358.4541	355.488	2.966072	12.93165	0.01095818	-0.06371227	0.01789166	0.9698865	0.8573858	1	0.01980203	63.25384	0.01787544	-2.115741
45	1	353.9291	351.8956	2.033436	19.69063	0.008806189	0.03381213	0.02120672	0.9400892	0.8230112	1	0.01932617	78.71137	0.0211306	0.5643744
46	0	357.8919	354.0096	3.88231	7.658344	0.01428374	-0.06716122	0.01446615	0.9895984	0.890502	1	0.02032884	48.52699	0.01446459	-6.456835
47	1	356.7667	354.3343	2.432472	21.80304	0.008339394	-0.06435714	0.01998948	0.9304485	0.8133385	1	0.01825925	83.11721	0.01989278	-0.9253158
48	0	358.9474	355.6839	3.263504	14.07117	0.01049374	-0.02077384	0.01686866	0.965067	0.8511205	1	0.0188157	66.05342	0.01684807	-0.5946762
49	1	357.7037	355.1333	2.570341	18.56687	0.009084281	-0.05941883	0.01945045	0.9451849	0.8283286	1	0.01879858	76.30182	0.01939201	-1.083987
50	0	358.0537	354.9263	3.1274	15.61018	0.009946236	-0.07067377	0.01726679	0.9583858	0.8430057	1	0.01853319	69.68939	0.01723689	-1.69831
51	1	359.4352	356.1864	3.248785	12.40788	0.0111921	-0.03357696	0.01692379	0.9720561	0.8603489	1	0.01946345	61.9318	0.01691058	-1.201584
52	0	358.5061	354.5289	3.9772	7.606497	0.01433256	-0.05735427	0.01416829	0.9897595	0.8908746	1	0.02015281	48.36171	0.01416681	-5.600716
53	1	358.3623	354.3122	4.050103	8.334223	0.01368926	-0.06030548	0.01389035	0.9874215	0.8857525	1	0.01950121	50.6344	0.01388815	-4.794349
54	0	358.443	354.4151	4.02787	10.06969	0.0124439	-0.053118	0.01400945	0.9812712	0.8743431	1	0.01867255	55.70177	0.01400453	-2.836164
55	1	358.3162	355.2352	3.081058	15.38763	0.0100205	-0.06760722	0.01745708	0.9593621	0.8441568	1	0.01870448	69.17289	0.01742825	-1.663649
56	0	358.7277	355.4178	3.309974	14.52978	0.01032188	-0.01931711	0.01669669	0.9630943	0.8486632	1	0.01856563	67.15317	0.01667395	-0.5234185
57	1	357.0414	353.5447	3.496686	16.94435	0.009530779	-0.03321704	0.01603845	0.9524757	0.8362486	1	0.01748479	72.72723	0.01600223	-0.6989479
58	0	357.7654	354.5477	3.217673	8.998038	0.01317111	-0.05787586	0.01696503	0.9851558	0.8812655	1	0.02113993	52.62631	0.01696129	-3.898889
