Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
37	669.2513	663.6963	5.555069	0.6230466	0.05010573	-0.0187714	0.005134903	0.9999999	0.9687818	1	0.02268427	13.83369	0.2627485	0.005134903	-2542716
38	668.9203	663.2853	5.634965	0.5928438	0.05136621	-0.01303515	0.005418637	0.9999999	0.9695479	1	0.02359385	13.49422	-0.2787041	0.005418637	3590147
39	669.9005	664.0829	5.817551	0.5144276	0.05514239	-0.01774472	0.005418637	1	0.9716332	1	0.02444572	12.57013	-0.1407338	0.005418637	5557187
40	666.4936	661.7401	4.753453	0.930211	0.0410069	-0.02064984	0.005525658	0.999998	0.9618549	1	0.02128803	16.90318	0.5283837	0.005525658	-270561.9
41	668.3993	662.5506	5.848694	0.4244487	0.06070648	-0.0247066	0.005279536	1	0.9742332	1	0.02531806	11.41801	0.0244206	0.005279536	-1.314409e+07
42	669.078	663.2422	5.835816	0.7025061	0.04718703	-0.01353824	0.005818539	0.9999997	0.9668508	1	0.02343329	14.68936	0.0597838	0.005818539	-260520.8
43	666.0953	660.9178	5.177528	1.053962	0.03852433	-0.01725485	0.005903569	0.9999955	0.9593968	1	0.0213275	17.99245	-0.4628281	0.005903569	99300.22
44	669.8914	664.1693	5.722074	0.5434192	0.05365129	-0.02144367	0.005424584	1	0.9708449	1	0.02412617	12.91949	-0.2267491	0.005424584	5759590
45	669.0944	663.2672	5.827224	0.768269	0.04512228	-0.02134538	0.005743224	0.9999995	0.965334	1	0.02276609	15.36153	0.08325511	0.005743224	-192091.6
46	667.2825	662.135	5.147412	0.53214	0.0542169	-0.02560385	0.005945475	1	0.971149	1	0.02539076	12.78471	0.4129716	0.005945475	-1.474195e+07
47	668.3206	662.9019	5.418735	0.6335458	0.04968882	-0.01566822	0.006065966	0.9999999	0.9685199	1	0.02455242	13.94976	-0.3704123	0.006065966	2804315
48	668.7016	663.4281	5.273502	0.4994259	0.05596444	-0.0235383	0.005254401	1	0.9720499	1	0.02425117	12.38549	-0.4288203	0.005254401	2.381577e+07
49	666.2083	661.6165	4.591754	0.5827328	0.05180992	-0.01218421	0.006090095	0.9999999	0.9698087	1	0.0251208	13.37866	-0.6126663	0.006090095	9351224
50	668.9401	663.0745	5.865576	0.7202539	0.04660203	-0.02334338	0.005418961	0.9999997	0.9664347	1	0.02247374	14.87375	-0.07758535	0.005418961	159857.5
51	669.8531	664.2002	5.652933	0.5451423	0.05356643	-0.01975092	0.005300303	1	0.9707987	1	0.02382932	12.93995	0.2138635	0.005300303	-6378387
52	666.2328	663.6285	2.604358	0.5451423	0.05356643	-0.01773345	0.005846781	1	0.9707987	1	0.02502763	12.93995	0.9170179	0.005846781	-2.552157e+07
53	668.8131	663.0608	5.752203	0.4298104	0.06032665	-0.02320974	0.005333491	1	0.974071	1	0.02536737	11.4899	0.1445849	0.005333491	-3.976107e+07
54	669.8105	663.9809	5.829571	0.6016092	0.05099064	-0.02094336	0.00575164	0.9999999	0.9693236	1	0.02421899	13.59362	-0.1263723	0.00575164	1263552
55	667.2121	661.3701	5.841977	0.9451904	0.04068066	-0.02156424	0.005972613	0.9999977	0.961549	1	0.02204404	17.03874	-0.1080064	0.005972613	38379.96
56	668.5743	663.09	5.48426	0.4841337	0.05684143	-0.01525523	0.005648087	1	0.9724811	1	0.02533951	12.1944	-0.348099	0.005648087	2.588775e+07
57	664.501	661.6081	2.892902	0.4454777	0.05925632	-0.02761401	0.005570917	1	0.9736026	1	0.02569483	11.69744	0.8748165	0.005570917	-1.518826e+08
58	669.7284	663.8985	5.829896	0.5950304	0.05127174	-0.02260387	0.005371455	0.9999999	0.9694918	1	0.02346929	13.51909	-0.1313348	0.005371455	1425641
59	666.2433	662.5038	3.739523	0.4355031	0.05993107	-0.01653424	0.005743215	1	0.9738998	1	0.02623726	11.56574	0.7341825	0.005743215	-1.567618e+08
60	667.7573	662.0363	5.720943	0.637842	0.04952119	-0.01412654	0.006194158	0.9999999	0.9684133	1	0.02476861	13.99698	0.1523804	0.006194158	-1247597
61	666.1458	660.3357	5.810101	0.637842	0.04952119	-0.02413501	0.006453824	0.9999999	0.9684133	1	0.02528245	13.99698	-0.07600004	0.006453824	388612.1
62	669.3493	663.4882	5.861043	0.5845065	0.05173125	-0.02340517	0.005247098	0.9999999	0.9697627	1	0.02329974	13.399	-0.06479692	0.005247098	628580.4
63	668.9558	663.0826	5.873114	0.8102679	0.0439373	-0.01625408	0.00539174	0.9999992	0.964399	1	0.02176688	15.77583	-0.04898063	0.00539174	41150.28
64	667.4895	663.3497	4.139786	0.5300725	0.05432253	-0.01412565	0.005489941	1	0.9712051	1	0.02442243	12.75985	-0.7144866	0.005489941	2.434987e+07
65	665.5325	662.0629	3.469585	0.5543433	0.05312002	-0.02715988	0.005757114	1	0.9705533	1	0.02473128	13.0487	0.7828098	0.005757114	-1.91738e+07
66	665.8684	661.0617	4.806691	0.3327207	0.06856584	-0.02387788	0.0053901	1	0.9771867	1	0.02718738	10.10922	0.508169	0.0053901	-1.755543e+09
67	669.1253	663.7091	5.416201	0.6621734	0.04860286	-0.02059943	0.005236622	0.9999998	0.9678165	1	0.02256168	14.26145	0.3247843	0.005236622	-1929561
68	667.5652	662.9058	4.659407	0.4388266	0.05970369	-0.0163981	0.005540597	1	0.9738004	1	0.02572136	11.60979	0.5462379	0.005540597	-1.092512e+08
69	667.4993	661.8441	5.655246	0.8923812	0.04186706	-0.01650446	0.006159769	0.9999985	0.9626386	1	0.02271085	16.55591	-0.2583189	0.006159769	156877.1
70	667.32	661.4884	5.831583	0.3545218	0.06642418	-0.02151517	0.005114485	1	0.9764512	1	0.02606628	10.43516	-0.08859735	0.005114485	1.116243e+08
71	668.8657	663.836	5.029625	0.5303146	0.05431013	-0.01784596	0.005742085	1	0.9711985	1	0.02497412	12.76276	-0.5045713	0.005742085	1.685532e+07
72	667.8939	662.8789	5.014966	0.7516899	0.04561717	-0.01330369	0.005908524	0.9999995	0.96571	1	0.02321767	15.19488	-0.508565	0.005908524	1065395
73	669.6779	663.95	5.727872	0.6315488	0.04976731	-0.01592451	0.005314849	0.9999999	0.9685695	1	0.02300025	13.92776	-0.2227831	0.005314849	1676804
74	667.3048	661.5162	5.788565	0.4511436	0.05888304	-0.01615659	0.006055975	1	0.9734353	1	0.02670559	11.77159	-0.1463659	0.006055975	1.944988e+07
75	668.9797	663.1422	5.837452	0.4351213	0.05995736	-0.02328307	0.005419282	1	0.9739113	1	0.02549219	11.56067	0.05396458	0.005419282	-1.626667e+07
