Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
40	429.343	425.2242	4.118754	25.98761	0.007577689	-0.03011258	0.01383512	0.9112745	0.7952018	1	0.01448021	91.47211	0.0137262	-0.3393905
41	429.4884	425.6542	3.834185	29.27115	0.007089327	-0.04528098	0.01491783	0.8962844	0.7817304	1	0.01454355	97.77334	0.01475736	-0.4365881
42	429.4184	425.7024	3.715953	33.05238	0.006611665	-0.02469312	0.01542829	0.8791758	0.7668702	1	0.01428332	104.837	0.01520306	-0.2043723
43	429.4188	425.5289	3.889937	30.12982	0.006973794	-0.02990181	0.01473863	0.8923826	0.7782993	1	0.01433765	99.39312	0.01456793	-0.277853
44	428.6834	424.6255	4.05795	28.01648	0.00726668	-0.0549161	0.01404124	0.9020006	0.7868093	1	0.01428518	95.38706	0.01390639	-0.5603718
45	428.923	425.4393	3.483695	26.81491	0.007446986	-0.05141725	0.01616409	0.9074891	0.7917515	1	0.01551604	93.07754	0.01602575	-0.5557967
46	427.7385	424.8644	2.874167	33.66216	0.006541516	0.008366671	0.01846288	0.8764359	0.7645303	1	0.01554189	105.9612	0.01818099	0.06771119
47	428.1949	423.7677	4.427142	16.03453	0.009808748	-0.02416215	0.01259843	0.9565162	0.8408305	1	0.01572099	70.66622	0.01257461	-0.5556582
48	425.9485	421.1985	4.750079	12.44125	0.01117677	-0.04989044	0.01134198	0.9719188	0.8601584	1	0.01592273	62.01676	0.01133304	-1.776649
49	427.4754	422.8215	4.653875	16.40404	0.0096932	-0.04989044	0.01172781	0.9548801	0.8389565	1	0.01507846	71.5086	0.01170394	-1.105729
50	429.0219	426.0173	3.004678	42.39607	0.005691802	-0.03838641	0.0183158	0.8378745	0.7324053	1	0.01443952	121.7799	0.01783437	-0.2367697
51	428.4129	424.2593	4.153609	28.99699	0.007127187	-0.02492466	0.01374002	0.8975321	0.7828334	1	0.01399483	97.25396	0.01359575	-0.2432434
52	428.9183	424.5386	4.379685	21.49721	0.00840297	-0.03185915	0.01282075	0.9318476	0.8147148	1	0.01467872	82.48836	0.0127612	-0.4674694
53	429.0777	424.7383	4.33934	19.87285	0.008763202	-0.03980688	0.01295183	0.9392603	0.8221609	1	0.01506648	79.09748	0.01290404	-0.6553681
54	429.0952	425.4641	3.631108	25.26996	0.007695782	-0.05062006	0.01559949	0.9145613	0.7982281	1	0.01549518	90.06845	0.01548561	-0.5924725
55	429.0928	425.8239	3.268875	40.06554	0.005894258	-0.006957462	0.01719942	0.8480341	0.7407498	1	0.01423923	117.597	0.01680223	-0.04578306
