Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
0	551.7875	546.8193	4.968237	9.525435	0.01279814	-0.04165619	0.01074638	0.9832763	0.8778125	1	0.01658516	54.15999	0.06330499	0.01074337	-6.212871
1	554.3553	552.1041	2.251166	9.935034	0.01252887	-0.04165619	0.01421717	0.9817731	0.875193	1	0.0188746	55.32398	-0.7366689	0.01421245	37.39439
2	556.4306	552.2138	4.216734	12.33263	0.01122689	-0.03650716	0.01373217	0.9723651	0.8607792	1	0.01755959	61.73992	-0.07138609	0.01372169	1.190746
3	556.0552	551.4762	4.579041	10.49015	0.01218898	-0.0271747	0.0123388	0.9796811	0.871723	1	0.01734344	56.86673	0.03613529	0.01233371	-3.079689
4	555.578	551.486	4.092025	9.746852	0.01265051	-0.05929536	0.01382747	0.9824681	0.87639	1	0.01870426	54.79203	-0.176801	0.01382322	6.525609
5	555.9717	552.4892	3.482549	11.02726	0.01188435	-0.03797633	0.01418656	0.9776031	0.8684466	1	0.0183629	58.32439	-0.4384654	0.01417945	17.44295
6	555.178	552.419	2.759003	8.166278	0.01383013	-0.0379855	0.0122279	0.9879754	0.8869147	1	0.01839095	50.11862	0.6864495	0.01222613	-59.5597
7	555.0035	550.9557	4.047747	7.20204	0.01473113	-0.02147864	0.01152049	0.9909844	0.8938246	1	0.01842335	47.05324	0.4276212	0.01151956	-49.38628
8	556.4765	552.2608	4.215771	7.819088	0.01413547	-0.03109713	0.01215308	0.9890936	0.8893546	1	0.01853589	49.03602	0.3134323	0.01215164	-31.27612
9	555.3443	551.3403	4.004079	7.634112	0.0143065	-0.03482922	0.01139071	0.9896738	0.890676	1	0.01805332	48.44981	0.4502489	0.0113895	-46.52527
10	556.345	552.3724	3.972641	7.935702	0.0140307	-0.03548603	0.01281609	0.9887221	0.8885293	1	0.01896411	49.40217	-0.3938279	0.01281446	31.3801
11	555.357	550.5713	4.785632	6.159592	0.01593236	-0.02805001	0.01132784	0.9938591	0.9018255	1	0.0189989	43.50562	0.1072622	0.01132741	-21.9272
12	555.5554	551.7381	3.817312	11.09789	0.0118459	-0.05853995	0.01391309	0.9773262	0.8680213	1	0.01815562	58.51365	-0.3306755	0.01390594	11.6715
13	555.4426	551.236	4.206602	10.67633	0.01208084	-0.06473695	0.01363135	0.9789665	0.8705786	1	0.01814818	57.37574	-0.08451729	0.01362532	0.8559043
14	556.0511	552.6357	3.415393	10.67633	0.01208084	-0.0386274	0.01386157	0.9789665	0.8705786	1	0.01830079	57.37574	-0.4867509	0.01385544	20.81851
15	556.2101	551.9574	4.252705	8.906606	0.01323907	-0.02227316	0.01361433	0.9854748	0.8818738	1	0.01898636	52.35618	-0.03141814	0.01361145	0.5981754
16	555.4896	551.7748	3.71477	13.65181	0.01065812	-0.04389358	0.01436477	0.9668551	0.8533988	1	0.01749865	65.03467	-0.3311267	0.01434899	8.334863
17	554.5037	551.4869	3.016796	9.181454	0.01303782	-0.0265861	0.01424679	0.9845097	0.8800539	1	0.01927418	53.16435	-0.5679992	0.01424337	34.38367
18	553.7857	550.4711	3.314569	14.92847	0.01017872	-0.04327917	0.01394792	0.9613662	0.8465547	1	0.01685063	68.09769	0.4558196	0.0139271	-12.46288
19	556.9188	552.4214	4.497358	7.968687	0.01400148	-0.04059319	0.01256269	0.9886163	0.888297	1	0.01875613	49.50526	0.06417884	0.01256106	-9.139523
20	556.9756	552.4031	4.572464	9.084411	0.01310785	-0.03483681	0.012326	0.9848526	0.8806935	1	0.01797595	52.88031	-0.1043371	0.01232317	4.483914
21	554.8736	551.6223	3.251351	11.35732	0.01170773	-0.009891216	0.01364922	0.9763022	0.86647	1	0.01787744	59.20424	-0.5476498	0.01364156	22.14473
22	556.8248	552.5617	4.263103	10.19597	0.01236571	-0.04596125	0.0134071	0.9807972	0.8735508	1	0.01820924	56.05397	-0.1305025	0.01340215	4.272046
23	557.113	552.7772	4.335829	9.98546	0.01249685	-0.0343064	0.01330248	0.9815855	0.8748741	1	0.01823399	55.46573	-0.04183026	0.01329797	0.3667541
24	555.1954	551.4492	3.746207	11.39969	0.0116856	-0.02911284	0.015171	0.976134	0.8662182	1	0.01882988	59.31636	-0.1864768	0.01516236	6.407177
25	556.3735	552.3392	4.034349	12.34002	0.01122346	-0.03720418	0.0143704	0.9723348	0.8607369	1	0.01796027	61.75879	-0.0979924	0.0143594	2.099285
26	554.2753	550.1765	4.098842	10.57971	0.0121366	-0.06752158	0.01265431	0.9793381	0.8711713	1	0.017526	57.11212	0.293197	0.01264891	-17.16498
27	554.9523	551.7063	3.245958	11.2949	0.01174055	-0.01093289	0.01363136	0.9765496	0.8668418	1	0.01789076	59.03873	0.4961438	0.01362386	-21.1272
28	556.0927	552.3322	3.760527	10.45342	0.01221064	-0.04973158	0.01327214	0.9798214	0.8719499	1	0.01800341	56.76584	0.3694888	0.01326674	-20.40596
29	556.0274	551.5091	4.518318	6.945207	0.01500195	-0.04553733	0.01242935	0.9917321	0.89574	1	0.01931137	46.20379	-0.1317354	0.0124285	10.29389
