Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
40	582.4519	576.6277	5.824189	17.55643	0.009355469	0.007539871	0.005303973	0.9497365	0.8332249	1	0.009962044	74.09005	0.005290573	0.1500068
41	588.0306	582.249	5.781539	7.900995	0.01406164	-0.006529905	0.004538055	0.9888331	0.8887743	1	0.01129712	49.29347	0.004537489	-0.5847572
42	587.1128	581.2887	5.824156	7.741269	0.01420668	0.000698549	0.005077043	0.989339	0.8899086	1	0.01201066	48.79023	0.005076465	0.06552392
43	586.7469	580.9944	5.752446	8.813328	0.01330947	-0.01050717	0.004343829	0.985798	0.8824976	1	0.01075305	52.07924	0.004342953	-0.7398373
44	586.6025	580.7764	5.826154	11.22299	0.01177869	-0.0102596	0.00486424	0.9768337	0.8672712	1	0.01070461	58.84756	0.00486163	-0.442868
45	584.732	579.1392	5.592843	4.230742	0.01922765	-0.01467359	0.003784174	0.9978582	0.9186482	1	0.01206323	36.04951	0.003784157	-6.851111
46	588.0747	582.2972	5.77752	6.646536	0.01533629	-0.007400474	0.004513564	0.9925701	0.8980116	1	0.01176617	45.19652	0.004513314	-0.9960426
47	586.8157	581.0677	5.747984	4.954832	0.0177665	-0.003929057	0.004381794	0.9965832	0.9119583	1	0.01247791	39.01428	0.004381743	-1.149935
48	586.3073	580.6705	5.636842	4.966673	0.01774529	-0.0003766719	0.003955071	0.99656	0.9118531	1	0.01184769	39.0609	0.003955024	-0.1094975
49	587.6805	581.9437	5.736782	6.00504	0.01613646	-0.0009146296	0.004337408	0.9942469	0.9030668	1	0.01183135	42.95533	0.004337265	-0.1589809
50	586.985	581.2651	5.719825	4.889741	0.01788445	-0.007622706	0.004226904	0.9967097	0.9125389	1	0.012296	38.75698	0.004226858	-2.316689
51	587.293	581.5516	5.741413	5.197911	0.01734575	-0.006483696	0.004330065	0.9960914	0.909823	1	0.01225628	39.96063	0.004329999	-1.658817
52	587.3499	581.5932	5.756725	8.296174	0.0137208	-0.009434635	0.004373156	0.9875477	0.8860148	1	0.01095474	50.51798	0.004372478	-0.757665
53	588.0568	582.2923	5.764466	6.735653	0.01523422	-0.00291606	0.004467271	0.9923237	0.8973286	1	0.01166665	45.49934	0.004467008	-0.3798791
54	584.7801	579.0924	5.687669	3.864486	0.02011843	-0.01259997	0.00408748	0.9983889	0.92225	1	0.01282448	34.45335	0.004087469	-7.820852
55	587.9257	582.1098	5.81583	8.138801	0.01385359	-0.003311868	0.004860873	0.9880652	0.8871059	1	0.01160522	50.03376	0.00486018	-0.2774977
56	587.4304	581.6084	5.822019	10.16188	0.01238667	-0.002258648	0.004940095	0.9809255	0.8737642	1	0.01106267	55.9591	0.004938297	-0.1184116
57	584.6972	578.8392	5.858077	10.42804	0.01222568	-0.02874391	0.005379433	0.9799181	0.8721069	1	0.01146885	56.69602	0.005377264	-1.431335
58	585.8779	580.0367	5.841236	13.58485	0.01068504	-0.004627846	0.005266686	0.9671391	0.8537655	1	0.01060894	64.87081	0.005260999	-0.1408315
59	583.9805	578.1262	5.854318	16.37996	0.009700618	-0.01536807	0.0054492	0.9549869	0.8390781	1	0.01028208	71.45392	0.005438159	-0.3414134
60	586.8214	580.9729	5.848556	11.02198	0.01188724	-0.0128965	0.005244621	0.9776238	0.8684785	1	0.01116638	58.3102	0.005241995	-0.5763479
61	587.2837	581.5028	5.780895	7.2564	0.01467564	-0.01699889	0.004476143	0.9908231	0.8934235	1	0.01146213	47.23113	0.004475766	-1.852362
62	587.9141	582.1616	5.75249	7.494989	0.01443924	-0.005071446	0.004380709	0.9901028	0.8916801	1	0.01124759	48.0044	0.00438028	-0.5124123
63	585.6719	579.9242	5.747749	7.483095	0.01445076	-0.02286914	0.004283913	0.9901392	0.8917663	1	0.01112707	47.96613	0.004283496	-2.319192
64	587.4385	581.6064	5.832029	10.10534	0.01242168	-0.003139288	0.005091312	0.9811377	0.8741189	1	0.01124657	55.80142	0.0050895	-0.1664317
65	588.0363	582.2347	5.801523	8.06151	0.01392021	-0.008172007	0.00466816	0.9883167	0.8876456	1	0.01140016	49.7943	0.004667523	-0.699461
66	583.5259	577.7239	5.802032	5.926471	0.01624326	0.01161223	0.0050608	0.99444	0.9037039	1	0.01282216	42.67291	0.005060644	2.08853
