Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
39	1	586.0027	580.3472	5.655499	4.3112	0.01904732	-0.008152088	0.003987306	0.9977311	0.917878	1	0.01232457	36.3908	0.003987286	-3.593022
40	0	586.3568	580.538	5.818776	11.63428	0.01156522	-0.005034072	0.004845301	0.9751978	0.8648319	1	0.0105865	59.93377	0.00484232	-0.2029686
41	1	587.3328	581.5329	5.799817	5.915415	0.01625846	-0.008152088	0.004672963	0.9944669	0.9037939	1	0.01232681	42.63303	0.00467282	-1.473343
42	0	582.1994	576.3974	5.801991	18.5084	0.0090994	0.01735322	0.005624505	0.9454492	0.8286089	1	0.01011727	76.17504	0.005607768	0.3181112
43	1	588.0275	582.2324	5.795098	7.643303	0.01429786	-0.001678828	0.004685247	0.9896452	0.8906099	1	0.01157489	48.4791	0.004684745	-0.1621311
44	0	586.7858	580.9475	5.838259	8.094796	0.01389141	-0.01899158	0.00495542	0.9882086	0.8874129	1	0.01173352	49.89756	0.004954731	-1.610634
45	1	588.0406	582.2779	5.762754	7.354818	0.01457675	-0.006555858	0.004427295	0.9905284	0.892701	1	0.01136095	47.55157	0.004426897	-0.6921589
46	0	587.8308	582.0142	5.816579	7.835789	0.01412032	-0.002631396	0.004883836	0.9890406	0.889236	1	0.01174405	49.08862	0.004883249	-0.2401047
47	1	583.8723	578.09	5.782248	16.31224	0.009721556	-0.00436385	0.006436114	0.9552872	0.8394204	1	0.01118651	71.30002	0.006423247	-0.09759731
48	0	587.1621	581.4129	5.74917	5.843953	0.01635772	0.002545308	0.004431837	0.9946398	0.9043775	1	0.01204116	42.37431	0.00443171	0.4748491
49	1	588.1192	582.3209	5.798221	7.589903	0.01434829	-0.006902085	0.004656578	0.9898108	0.8909941	1	0.01155975	48.3087	0.004656094	-0.6773942
50	0	585.9361	580.1083	5.827785	12.10915	0.01133206	-0.01034208	0.004878153	0.9732786	0.8620644	1	0.01051471	61.16693	0.004874669	-0.3870341
51	1	586.0591	580.276	5.783084	7.589903	0.01434829	0.01258299	0.004803208	0.9898108	0.8909941	1	0.01174034	48.3087	0.00480271	1.234938
52	0	587.1446	581.3441	5.800418	6.334786	0.01571004	-0.01588871	0.004617777	0.9934068	0.9004368	1	0.01204537	44.12127	0.004617576	-2.40986
