Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
36	0	553.7857	550.4711	3.314569	14.92847	0.01017872	-0.04327917	0.01394792	0.9613662	0.8465547	1	0.01685063	68.09769	0.4558196	0.0139271	-12.46288
37	1	557.1325	552.6413	4.491247	9.491588	0.01282116	-0.03444619	0.01270907	0.9833988	0.8780313	1	0.01805242	54.06277	-0.05303177	0.01270556	1.066502
38	0	556.9188	552.4214	4.497358	7.968687	0.01400148	-0.04059319	0.01256269	0.9886163	0.888297	1	0.01875613	49.50526	0.06417884	0.01256106	-9.139523
39	1	556.3993	552.4265	3.972837	9.809391	0.01260971	-0.02822236	0.01384202	0.982238	0.875991	1	0.01868389	54.96934	0.218653	0.01383765	-13.6804
40	0	556.9756	552.4031	4.572464	9.084411	0.01310785	-0.03483681	0.012326	0.9848526	0.8806935	1	0.01797595	52.88031	-0.1043371	0.01232317	4.483914
41	1	556.2613	551.4447	4.816578	7.666855	0.01427578	-0.03801936	0.01144819	0.9895719	0.8904409	1	0.01807937	48.55407	0.002921651	0.01144694	-3.92311
42	0	554.8736	551.6223	3.251351	11.35732	0.01170773	-0.009891216	0.01364922	0.9763022	0.86647	1	0.01787744	59.20424	-0.5476498	0.01364156	22.14473
43	1	555.6167	551.5466	4.070093	9.154188	0.01305738	-0.01891749	0.01216201	0.9846062	0.8802333	1	0.01782156	53.08469	0.3669762	0.01215912	-24.70121
44	0	556.8248	552.5617	4.263103	10.19597	0.01236571	-0.04596125	0.0134071	0.9807972	0.8735508	1	0.01820924	56.05397	-0.1305025	0.01340215	4.272046
45	1	553.4087	548.798	4.610781	5.084199	0.01753883	-0.04149443	0.01164182	0.9963253	0.9108156	1	0.02020811	39.52072	-0.232319	0.01164166	51.6971
46	0	557.113	552.7772	4.335829	9.98546	0.01249685	-0.0343064	0.01330248	0.9815855	0.8748741	1	0.01823399	55.46573	-0.04183026	0.01329797	0.3667541
47	1	554.3964	550.9769	3.419468	6.78392	0.01517978	-0.03883335	0.01120434	0.992189	0.8969606	1	0.0184434	45.66253	-0.6599891	0.01120366	78.86272
48	0	555.1954	551.4492	3.746207	11.39969	0.0116856	-0.02911284	0.015171	0.976134	0.8662182	1	0.01882988	59.31636	-0.1864768	0.01516236	6.407177
49	1	555.1749	551.3119	3.863077	9.855693	0.01257974	-0.06097032	0.01391493	0.982067	0.8756963	1	0.01871076	55.10027	-0.3065506	0.01391045	13.38779
50	0	556.3735	552.3392	4.034349	12.34002	0.01122346	-0.03720418	0.0143704	0.9723348	0.8607369	1	0.01796027	61.75879	-0.0979924	0.0143594	2.099285
