species,log10_carL,log10_cheL,log10_cheW,log10_cheD
BOTH_Bothriurus_asper,0.5975406417056477,0.761068716160737,0.28661764282885877,0.38337161944175024
BOTH_Bothriurus_flavidus,0.5912872080105767,0.7076753430620886,0.3266641550991738,0.42817711644366463
BOTH_Bothriurus_rochai,0.656833863067081,0.7681754666073747,0.2436334977048416,0.3524653604806314
BOTH_Brachistosternus_aconcagua,0.7557692305289605,0.8820405950865147,0.2473138029810379,0.3611359297925181
BOTH_Brachistosternus_alienus,0.7318569307709366,0.7803477671968269,0.23681646343692056,0.335122926537062
BOTH_Brachistosternus_andinus,0.772653558232912,0.8948608469904609,0.32024071848521085,0.3965458000882901
BOTH_Brachistosternus_angustimanus,0.8767057671405449,0.9513326172889284,0.27035247713547006,0.3758297999880459
BOTH_Brachistosternus_artigasi,0.8036524353866639,0.8641403584952966,0.2537795236733559,0.40163976878960234
BOTH_Brachistosternus_barrigai,0.75886970791908,0.8801328132686077,0.2739857540736179,0.3764082155941358
BOTH_Brachistosternus_cekalovici,0.7964612628225146,0.8670048515353905,0.26951294421791633,0.38530819909584346
BOTH_Brachistosternus_cepedai,0.7029505210041103,0.7756517909481138,0.20250233252518468,0.2866047063118528
BOTH_Brachistosternus_chango,0.7651959107005205,0.8096990325041156,0.2075701760979364,0.30398471891126055
BOTH_Brachistosternus_chilensis,0.7850770010830599,0.8605597398278664,0.2678874981460163,0.3894950378892339
BOTH_Brachistosternus_coquimbo,0.7581367642192514,1.0409759370744094,0.3704259910439924,0.4097328204606049
BOTH_Brachistosternus_donosoi,0.8436663631807483,0.9624300124923236,0.4140010789034424,0.5040828299939499
BOTH_Brachistosternus_ehrenbergii,0.9932963034111056,1.169028937709878,0.6361529222010431,0.7287138464732423
BOTH_Brachistosternus_ferrugineus,0.7153269182865302,0.7620305106634451,0.09489950531991324,0.20589400227193444
BOTH_Brachistosternus_galianoae,0.6526832094973223,0.7545857981179693,0.1731177908495189,0.27505299967379643
BOTH_Brachistosternus_intermedius,0.7708120843191497,0.9095398910641436,0.3723420316384432,0.4723548152033928
